X,Y,Z,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
498994.56201658,3120863.0530119,839.782,"0","0","0",839.782,,,,,,,,,,,,,,,,,,,,,,
510578.299665804,3109989.56555902,624.733,"0","0","1",624.733,,,,,,,,,,,,,,,,,,,,,,
511342.988552264,3108494.88847128,742.866,"0","0","2",742.866,,,,,,,,,,,,,,,,,,,,,,
511924.96722839,3107707.9252686,766.077,"0","0","3",766.077,,,,,,,,,,,,,,,,,,,,,,
512089.372713744,3107633.3287495,794.278,"0","0","4",794.278,,,,,,,,,,,,,,,,,,,,,,
512006.994142446,3107345.85442627,883.774,"0","0","5",883.774,,,,,,,,,,,,,,,,,,,,,,
512128.456799546,3107095.06380542,889.009,"0","0","6",889.009,,,,,,,,,,,,,,,,,,,,,,
512338.664925341,3106587.90946102,972.989,"0","0","7",972.989,,,,,,,,,,,,,,,,,,,,,,
513202.911600786,3105764.51366886,1118.054,"0","0","8",1118.054,,,,,,,,,,,,,,,,,,,,,,
520487.746820304,3101757.89248005,408.049,"0","0","9",408.049,,,,,,,,,,,,,,,,,,,,,,
530949.4710395,3102926.8126339,438.86,"0","0","10",438.86,,,,,,,,,,,,,,,,,,,,,,
535570.452949584,3103627.18945386,567.263,"0","0","11",567.263,,,,,,,,,,,,,,,,,,,,,,
543412.550705573,3098142.2942125,506.064,"0","0","12",506.064,,,,,,,,,,,,,,,,,,,,,,
554427.800219123,3092418.48321722,365.198,"0","0","13",365.198,,,,,,,,,,,,,,,,,,,,,,
562679.050719841,3093003.44442337,790.48,"0","0","14",790.48,,,,,,,,,,,,,,,,,,,,,,
563829.294266644,3091910.03128293,758.895,"0","0","15",758.895,,,,,,,,,,,,,,,,,,,,,,
564104.680039624,3090306.61970533,1029.769,"0","0","16",1029.769,,,,,,,,,,,,,,,,,,,,,,
564065.384136791,3089441.62178415,1085.838,"0","0","17",1085.838,,,,,,,,,,,,,,,,,,,,,,
566925.934843317,3088535.64402573,822.404,"0","0","18",822.404,,,,,,,,,,,,,,,,,,,,,,
572031.387059731,3088761.74090525,493.12,"0","0","19",493.12,,,,,,,,,,,,,,,,,,,,,,
574008.031583639,3084187.92560482,378.113,"0","0","20",378.113,,,,,,,,,,,,,,,,,,,,,,
576953.631966993,3077797.27228193,349.024,"0","0","21",349.024,,,,,,,,,,,,,,,,,,,,,,
577481.116823176,3077325.74765695,372.383,"0","0","22",372.383,,,,,,,,,,,,,,,,,,,,,,
579885.182553787,3077774.5083353,371.1,"0","0","23",371.1,,,,,,,,,,,,,,,,,,,,,,
598456.355009751,3075682.89114662,432.946,"0","0","24",432.946,,,,,,,,,,,,,,,,,,,,,,
603409.918806103,3070524.47513441,574.11,"0","0","25",574.11,,,,,,,,,,,,,,,,,,,,,,
611226.344403844,3069013.55784498,814.941,"0","0","26",814.941,,,,,,,,,,,,,,,,,,,,,,
614433.466127289,3068778.61965374,857.225,"0","0","27",857.225,,,,,,,,,,,,,,,,,,,,,,
617706.92212346,3068959.99745679,1007.582,"0","0","28",1007.582,,,,,,,,,,,,,,,,,,,,,,
619199.513217551,3069232.34166312,1063.906,"0","0","29",1063.906,,,,,,,,,,,,,,,,,,,,,,
621619.135238407,3068823.76364384,1497.159,"0","0","30",1497.159,,,,,,,,,,,,,,,,,,,,,,
626743.842808361,3066130.88001021,1308.935,"0","0","31",1308.935,,,,,,,,,,,,,,,,,,,,,,
