X,Y,ID,Longtitude,Latitude
498994.56201658,3120863.0530119,"1",83.98756067,28.20763646
510578.299665804,3109989.56555902,"2",84.10547041,28.10946936
511342.988552264,3108494.88847128,"3",84.11323918,28.09597445
511924.96722839,3107707.9252686,"4",84.11915392,28.08886748
512089.372713744,3107633.3287495,"5",84.12082615,28.08819282
512006.994142446,3107345.85442627,"6",84.11998499,28.08559924
512128.456799546,3107095.06380542,"7",84.12121841,28.08333489
512338.664925341,3106587.90946102,"8",84.12335214,28.07875616
513202.911600786,3105764.51366886,"9",84.13213676,28.07131722
520487.746820304,3101757.89248005,"10",84.20618572,28.03506804
530949.4710395,3102926.8126339,"11",84.31262034,28.04541602
535570.452949584,3103627.18945386,"12",84.35964465,28.05162148
543412.550705573,3098142.2942125,"13",84.43921518,28.00189182
554427.800219123,3092418.48321722,"14",84.5509491,27.94983528
562679.050719841,3093003.44442337,"15",84.63483212,27.95475292
563829.294266644,3091910.03128293,"16",84.64646298,27.9448314
564104.680039624,3090306.61970533,"17",84.6491749,27.93034881
564065.384136791,3089441.62178415,"18",84.64872903,27.92254481
566925.934843317,3088535.64402573,"19",84.67774032,27.91422922
572031.387059731,3088761.74090525,"20",84.72961932,27.91600462
574008.031583639,3084187.92560482,"21",84.7494155,27.87462266
576953.631966993,3077797.27228193,"22",84.77891589,27.81678753
577481.116823176,3077325.74765695,"23",84.78423906,27.81250217
579885.182553787,3077774.5083353,"24",84.8086682,27.81641107
598456.355009751,3075682.89114662,"25",84.99697742,27.79630489
603409.918806103,3070524.47513441,"26",85.04679541,27.7493864
611226.344403844,3069013.55784498,"27",85.12593245,27.73513028
614433.466127289,3068778.61965374,"28",85.15843311,27.73274189
617706.92212346,3068959.99745679,"29",85.19164557,27.73409655
619199.513217551,3069232.34166312,"30",85.20680841,27.73642271
621619.135238407,3068823.76364384,"31",85.23130371,27.73251993
626743.842808361,3066130.88001021,"32",85.28298488,27.7077505
