fid,field_1_1,Name,osm_id,ref,oneway,maxspeed,bridge,tunnel,Y,X,Z
1,10588,Prithivi Highway,524596051,H04,B,0,F,F,28.2092159,83.9863581,849
2,10589,Prithivi Highway,524596051,H04,B,0,F,F,28.2091954,83.9864029,848.8
3,10591,Prithivi Highway,524596051,H04,B,0,F,F,28.2088555,83.9871466,842.6
4,10593,Prithivi Highway,524596051,H04,B,0,F,F,28.2087876,83.9872951,842
5,10595,Prithivi Highway,524596051,H04,B,0,F,F,28.2086648,83.9875638,840.2
6,10384,Prithvi Rajmarga,421041683,H04,B,0,F,F,28.2084004,83.9881421,839.6
7,10385,Prithvi Rajmarga,421041683,H04,B,0,F,F,28.2083548,83.9882418,839.7
8,10387,Prithvi Rajmarga,421041683,H04,B,0,F,F,28.2082043,83.9885707,840
9,10389,Prithvi Rajmarga,421041683,H04,B,0,F,F,28.2079588,83.9891073,841.3
10,172,Seti Bridge,24811177,H04,B,0,T,F,28.2078697,83.9893019,842
11,146,Prithvi Highway,24811176,H04,B,0,F,F,28.2071383,83.9910354,842.5
12,147,Prithvi Highway,24811176,H04,B,0,F,F,28.2070913,83.9911404,842.5
13,149,Prithvi Highway,24811176,H04,B,0,F,F,28.207054,83.9912213,842.2
14,151,Prithvi Highway,24811176,H04,B,0,F,F,28.2070044,83.9913444,841.6
15,153,Prithvi Highway,24811176,H04,B,0,F,F,28.20693,83.9915307,841.9
16,155,Prithvi Highway,24811176,H04,B,0,F,F,28.206901,83.9916288,842.3
17,157,Prithvi Highway,24811176,H04,B,0,F,F,28.2068152,83.991817,842.6
18,159,Prithvi Highway,24811176,H04,B,0,F,F,28.2067703,83.9919472,843.4
19,161,Prithvi Highway,24811176,H04,B,0,F,F,28.2067242,83.9920947,844.8
20,163,Prithvi Highway,24811176,H04,B,0,F,F,28.2066621,83.9923423,846.4
21,165,Prithvi Highway,24811176,H04,B,0,F,F,28.2066271,83.9925284,846.9
22,167,Prithvi Highway,24811176,H04,B,0,F,F,28.2065926,83.9927249,846.9
23,169,Prithvi Highway,24811176,H04,B,0,F,F,28.206477,83.9933945,847.2
24,171,Prithvi Highway,24811176,H04,B,0,F,F,28.2062133,83.9946961,844.9
25,10367,Prithvi Highway,421022100,H04,B,0,F,F,28.2061855,83.9948455,845
26,10369,Prithvi Highway,421022100,H04,B,0,F,F,28.2060437,83.9956297,845.2
27,10371,Prithvi Highway,421022100,H04,B,0,F,F,28.2058763,83.9965068,842.5
28,10373,Prithvi Highway,421022100,H04,B,0,F,F,28.205685,83.9974987,842.4
29,10375,Prithvi Highway,421022100,H04,B,0,F,F,28.2056383,83.9977363,841.6
30,10377,Prithvi Highway,421022100,H04,B,0,F,F,28.2054722,83.9985837,840.7
31,10379,Prithvi Highway,421022100,H04,B,0,F,F,28.2052338,83.9998581,842.4
32,10381,Prithvi Highway,421022100,H04,B,0,F,F,28.2051974,84.0000821,841.8
33,10585,Prithvi Highway,524570544,H04,F,0,F,F,28.2051079,84.0007665,843.1
34,2587,Prithvi Highway,108218594,H04,F,0,F,F,28.2050919,84.0008992,842.5
35,2589,Prithvi Highway,108218594,H04,F,0,F,F,28.2051021,84.0009193,842.4
36,2591,Prithvi Highway,108218594,H04,F,0,F,F,28.2051159,84.0009629,842.1
37,2593,Prithvi Highway,108218594,H04,F,0,F,F,28.205115,84.0010038,841.8
38,2595,Prithvi Highway,108218594,H04,F,0,F,F,28.2051025,84.0010421,841.5
39,2597,Prithvi Highway,108218594,H04,F,0,F,F,28.2050847,84.0010683,841.3
40,2599,Prithvi Highway,108218594,H04,F,0,F,F,28.2050614,84.0010883,841.2
41,2601,Prithvi Highway,108218594,H04,F,0,F,F,28.205059,84.0010894,841.2
42,2603,Prithvi Highway,108218594,H04,F,0,F,F,28.2050343,84.0011006,841.1
43,2605,Prithvi Highway,108218594,H04,F,0,F,F,28.2050053,84.0011042,841
44,2607,Prithvi Highway,108218594,H04,F,0,F,F,28.2049564,84.0010937,841.1
45,10439,Prithvi Highway,421310978,H04,B,0,F,F,28.2048632,84.0013048,840.6
46,10441,Prithvi Highway,421310978,H04,B,0,F,F,28.2044159,84.0023697,840.9
47,10443,Prithvi Highway,421310978,H04,B,0,F,F,28.2041427,84.0029681,840.5
48,10445,Prithvi Highway,421310978,H04,B,0,F,F,28.2037065,84.0039736,840.3
49,10447,Prithvi Highway,421310978,H04,B,0,F,F,28.2031509,84.0052564,838.4
50,10449,Prithvi Highway,421310978,H04,B,0,F,F,28.2029172,84.005796,838.8
51,10451,Prithvi Highway,421310978,H04,B,0,F,F,28.2026569,84.0063846,839
52,10453,Prithvi Highway,421310978,H04,B,0,F,F,28.2023964,84.0070013,834.6
53,10455,Prithvi Highway,421310978,H04,B,0,F,F,28.2020959,84.0077143,832.7
54,10457,Prithvi Highway,421310978,H04,B,0,F,F,28.2017947,84.0083951,833.9
55,2542,Prithvi Highway,108218584,H04,B,0,F,F,28.2014147,84.0092399,833.1
56,2543,Prithvi Highway,108218584,H04,B,0,F,F,28.2013314,84.0094131,832.8
57,2545,Prithvi Highway,108218584,H04,B,0,F,F,28.2008293,84.0106198,832
58,2547,Prithvi Highway,108218584,H04,B,0,F,F,28.2004163,84.0115142,830.5
59,2549,Prithvi Highway,108218584,H04,B,0,F,F,28.2003433,84.0116475,830.2
60,2551,Prithvi Highway,108218584,H04,B,0,F,F,28.2000989,84.0120891,829.2
61,2553,Prithvi Highway,108218584,H04,B,0,F,F,28.1998473,84.0124941,825.8
62,2555,Prithvi Highway,108218584,H04,B,0,F,F,28.1991928,84.0135465,825.7
63,2557,Prithvi Highway,108218584,H04,B,0,F,F,28.1990234,84.0138155,825.3
64,2559,Prithvi Highway,108218584,H04,B,0,F,F,28.1990024,84.0138489,825.1
65,2561,Prithvi Highway,108218584,H04,B,0,F,F,28.1985179,84.0146185,820
66,2563,Prithvi Highway,108218584,H04,B,0,F,F,28.1982998,84.0149776,820.8
67,2565,Prithvi Highway,108218584,H04,B,0,F,F,28.1981171,84.0152543,821.1
68,2567,Prithvi Highway,108218584,H04,B,0,F,F,28.1970766,84.0168965,816.1
69,2569,Prithvi Highway,108218584,H04,B,0,F,F,28.1970073,84.0170058,815.9
70,2571,Prithvi Highway,108218584,H04,B,0,F,F,28.1969341,84.017112,815.4
71,2573,Prithvi Highway,108218584,H04,B,0,F,F,28.1963802,84.018012,812.2
72,2575,Prithvi Highway,108218584,H04,B,0,F,F,28.1956401,84.0191678,813.3
73,2577,Prithvi Highway,108218584,H04,B,0,F,F,28.1945993,84.0208598,808.4
74,2579,Prithvi Highway,108218584,H04,B,0,F,F,28.193954,84.0220534,803.3
75,2583,Prithvi Highway,108218584,H04,B,0,F,F,28.1928405,84.0240678,800.4
76,10393,Prithvi Highway,421310977,H04,B,0,F,F,28.1924645,84.0247542,799.1
77,10395,Prithvi Highway,421310977,H04,B,0,F,F,28.1923244,84.0250203,798.1
78,10397,Prithvi Highway,421310977,H04,B,0,F,F,28.1922958,84.0250919,797.2
79,10399,Prithvi Highway,421310977,H04,B,0,F,F,28.1922743,84.0251755,796.2
80,10401,Prithvi Highway,421310977,H04,B,0,F,F,28.1922649,84.0252772,795
81,10403,Prithvi Highway,421310977,H04,B,0,F,F,28.1922648,84.0253682,794
82,10405,Prithvi Highway,421310977,H04,B,0,F,F,28.192275,84.0254432,793.1
83,10407,Prithvi Highway,421310977,H04,B,0,F,F,28.1923052,84.0255303,792
84,10409,Prithvi Highway,421310977,H04,B,0,F,F,28.1923388,84.0256062,791.2
85,10411,Prithvi Highway,421310977,H04,B,0,F,F,28.1923852,84.0256726,790.2
86,10413,Prithvi Highway,421310977,H04,B,0,F,F,28.1924444,84.0257343,789
87,10415,Prithvi Highway,421310977,H04,B,0,F,F,28.1925216,84.025805,787.4
88,10417,Prithvi Highway,421310977,H04,B,0,F,F,28.1928862,84.0260009,783.1
89,10419,Prithvi Highway,421310977,H04,B,0,F,F,28.1931562,84.0261674,780.4
90,10421,Prithvi Highway,421310977,H04,B,0,F,F,28.1932221,84.0262124,780.8
91,10423,Prithvi Highway,421310977,H04,B,0,F,F,28.1932785,84.0262601,781.1
92,10425,Prithvi Highway,421310977,H04,B,0,F,F,28.1933231,84.0263132,781.4
93,10429,Prithvi Highway,421310977,H04,B,0,F,F,28.1935511,84.0266192,780
94,10431,Prithvi Highway,421310977,H04,B,0,F,F,28.1936149,84.0267538,778.8
95,10433,Prithvi Highway,421310977,H04,B,0,F,F,28.1936391,84.0268568,777.4
96,10435,Prithvi Highway,421310977,H04,B,0,F,F,28.1936417,84.0269378,776.3
97,326,Prithvi Highway,24811306,H04,B,0,T,F,28.1936348,84.0270081,775.3
98,327,Prithvi Highway,24811306,H04,B,0,T,F,28.1933905,84.0277955,777
99,10461,Prithvi Highway,478266440,H04,B,0,F,F,28.1933375,84.0279893,780
100,10463,Prithvi Highway,478266440,H04,B,0,F,F,28.1932731,84.0281775,781.9
101,10465,Prithvi Highway,478266440,H04,B,0,F,F,28.193244,84.02828,782.8
102,10467,Prithvi Highway,478266440,H04,B,0,F,F,28.1932078,84.028361,783.3
103,10469,Prithvi Highway,478266440,H04,B,0,F,F,28.1931638,84.0284319,783.7
104,10471,Prithvi Highway,478266440,H04,B,0,F,F,28.1930844,84.0285135,784.1
105,10473,Prithvi Highway,478266440,H04,B,0,F,F,28.1923029,84.0290315,786.3
106,10475,Prithvi Highway,478266440,H04,B,0,F,F,28.1921011,84.0291671,789.4
107,10477,Prithvi Highway,478266440,H04,B,0,F,F,28.1917763,84.0294316,793.8
108,10479,Prithvi Highway,478266440,H04,B,0,F,F,28.1912992,84.0298938,792.1
109,10481,Prithvi Highway,478266440,H04,B,0,F,F,28.1907167,84.0304674,792.1
110,10483,Prithvi Highway,478266440,H04,B,0,F,F,28.1902967,84.0308742,790.1
111,10485,Prithvi Highway,478266440,H04,B,0,F,F,28.1900382,84.031138,790.1
112,10487,Prithvi Highway,478266440,H04,B,0,F,F,28.1898017,84.0313699,789.6
113,10489,Prithvi Highway,478266440,H04,B,0,F,F,28.1892799,84.0318858,786.9
114,10491,Prithvi Highway,478266440,H04,B,0,F,F,28.1888355,84.0323269,786.3
115,10493,Prithvi Highway,478266440,H04,B,0,F,F,28.1887196,84.032444,785.5
116,10495,Prithvi Highway,478266440,H04,B,0,F,F,28.1881002,84.0330615,783.8
117,10497,Prithvi Highway,478266440,H04,B,0,F,F,28.1870207,84.0341512,783.2
118,10499,Prithvi Highway,478266440,H04,B,0,F,F,28.1864106,84.0347478,781
119,10501,Prithvi Highway,478266440,H04,B,0,F,F,28.1855958,84.0355584,780
120,10503,Prithvi Highway,478266440,H04,B,0,F,F,28.18478,84.0363634,778.8
121,10505,Prithvi Highway,478266440,H04,B,0,F,F,28.1845448,84.0365969,777.5
122,10507,Prithvi Highway,478266440,H04,B,0,F,F,28.1843939,84.0367673,776.7
123,10509,Prithvi Highway,478266440,H04,B,0,F,F,28.1838794,84.0372992,775
124,10511,Prithvi Highway,478266440,H04,B,0,F,F,28.1834214,84.0378516,773.5
125,10513,Prithvi Highway,478266440,H04,B,0,F,F,28.183368,84.0379192,773.6
126,10515,Prithvi Highway,478266440,H04,B,0,F,F,28.1832165,84.0380819,773.1
127,10517,Prithvi Highway,478266440,H04,B,0,F,F,28.1826494,84.0387227,770.6
128,10519,Prithvi Highway,478266440,H04,B,0,F,F,28.1821074,84.0393575,767.2
129,10521,Prithvi Highway,478266440,H04,B,0,F,F,28.1819937,84.0394902,767
130,10523,Prithvi Highway,478266440,H04,B,0,F,F,28.1817437,84.0398118,766
131,10525,Prithvi Highway,478266440,H04,B,0,F,F,28.1814483,84.0402522,765
132,10527,Prithvi Highway,478266440,H04,B,0,F,F,28.1811958,84.0406408,764
133,10529,Prithvi Highway,478266440,H04,B,0,F,F,28.1809647,84.0410143,764.2
134,10531,Prithvi Highway,478266440,H04,B,0,F,F,28.1807363,84.0413928,763.3
135,10533,Prithvi Highway,478266440,H04,B,0,F,F,28.1802386,84.042165,761.1
136,10535,Prithvi Highway,478266440,H04,B,0,F,F,28.1798279,84.0428457,759
137,10537,Prithvi Highway,478266440,H04,B,0,F,F,28.1795854,84.0432267,757.8
138,10539,Prithvi Highway,478266440,H04,B,0,F,F,28.179375,84.0435731,757.8
139,10541,Prithvi Highway,478266440,H04,B,0,F,F,28.1791923,84.0438703,756.2
140,10543,Prithvi Highway,478266440,H04,B,0,F,F,28.1790307,84.0441251,754.7
141,10545,Prithvi Highway,478266440,H04,B,0,F,F,28.1785699,84.0448771,754.9
142,10547,Prithvi Highway,478266440,H04,B,0,F,F,28.1782802,84.0453485,754
143,10549,Prithvi Highway,478266440,H04,B,0,F,F,28.1780589,84.0456703,754.4
144,10551,Prithvi Highway,478266440,H04,B,0,F,F,28.1779579,84.0458206,754.6
145,10553,Prithvi Highway,478266440,H04,B,0,F,F,28.1777993,84.046053,754
146,10555,Prithvi Highway,478266440,H04,B,0,F,F,28.1776002,84.0462984,752.7
147,10557,Prithvi Highway,478266440,H04,B,0,F,F,28.1755012,84.0490213,745.5
148,10559,Prithvi Highway,478266440,H04,B,0,F,F,28.175271,84.0493314,745
149,10561,Prithvi Highway,478266440,H04,B,0,F,F,28.1750945,84.0495579,745
150,10563,Prithvi Highway,478266440,H04,B,0,F,F,28.175086,84.0495683,745
151,10565,Prithvi Highway,478266440,H04,B,0,F,F,28.174971,84.0497314,745
152,10567,Prithvi Highway,478266440,H04,B,0,F,F,28.1746307,84.0501679,743.5
153,10569,Prithvi Highway,478266440,H04,B,0,F,F,28.1745867,84.0502244,743.1
154,10571,Prithvi Highway,478266440,H04,B,0,F,F,28.1738744,84.0511595,740.9
155,10573,Prithvi Highway,478266440,H04,B,0,F,F,28.1727123,84.0526766,738.9
156,10575,Prithvi Highway,478266440,H04,B,0,F,F,28.1724071,84.0530868,736.3
157,10577,Prithvi Highway,478266440,H04,B,0,F,F,28.172348,84.0531663,735.7
158,10579,Prithvi Highway,478266440,H04,B,0,F,F,28.1719802,84.0536338,733.3
159,10581,,478266511,H04,B,0,T,F,28.1718106,84.0538551,731.6
160,174,Prithvi Highway,24811305,H04,B,0,F,F,28.1715916,84.0541408,730.6
161,175,Prithvi Highway,24811305,H04,B,0,F,F,28.1714946,84.0542728,730.6
162,177,Prithvi Highway,24811305,H04,B,0,F,F,28.1712044,84.0546677,731.9
163,179,Prithvi Highway,24811305,H04,B,0,F,F,28.1710337,84.0548589,732.4
164,181,Prithvi Highway,24811305,H04,B,0,F,F,28.170906,84.0549753,732.2
165,183,Prithvi Highway,24811305,H04,B,0,F,F,28.1707708,84.0550931,732.3
166,185,Prithvi Highway,24811305,H04,B,0,F,F,28.1705576,84.055256,732
167,187,Prithvi Highway,24811305,H04,B,0,F,F,28.1703514,84.0553893,732.5
168,189,Prithvi Highway,24811305,H04,B,0,F,F,28.1701212,84.0554977,733.9
169,191,Prithvi Highway,24811305,H04,B,0,F,F,28.1699407,84.0555551,734.8
170,193,Prithvi Highway,24811305,H04,B,0,F,F,28.1695188,84.0556704,732.4
171,195,Prithvi Highway,24811305,H04,B,0,F,F,28.167412,84.0561194,729.4
172,197,Prithvi Highway,24811305,H04,B,0,F,F,28.1660244,84.0564157,726.5
173,199,Prithvi Highway,24811305,H04,B,0,F,F,28.1646764,84.0567288,723.5
174,201,Prithvi Highway,24811305,H04,B,0,F,F,28.1643218,84.0567884,721.6
175,203,Prithvi Highway,24811305,H04,B,0,F,F,28.1634041,84.0569949,723.1
176,205,Prithvi Highway,24811305,H04,B,0,F,F,28.1630101,84.0570836,724.1
177,207,Prithvi Highway,24811305,H04,B,0,F,F,28.162912,84.0571081,724.2
178,209,Prithvi Highway,24811305,H04,B,0,F,F,28.1628813,84.0571157,724.2
179,211,Prithvi Highway,24811305,H04,B,0,F,F,28.162456,84.0571802,723.4
180,213,Prithvi Highway,24811305,H04,B,0,F,F,28.1620269,84.0572655,721
181,215,Prithvi Highway,24811305,H04,B,0,F,F,28.1618905,84.0573043,722
182,217,Prithvi Highway,24811305,H04,B,0,F,F,28.1616206,84.0573794,726.3
183,219,Prithvi Highway,24811305,H04,B,0,F,F,28.1612277,84.0574936,729.5
184,221,Prithvi Highway,24811305,H04,B,0,F,F,28.1609071,84.0576098,725.6
185,223,Prithvi Highway,24811305,H04,B,0,F,F,28.1608499,84.0576363,724.9
186,225,Prithvi Highway,24811305,H04,B,0,F,F,28.1594418,84.0582888,716
187,227,Prithvi Highway,24811305,H04,B,0,F,F,28.159274,84.0583593,715.4
188,229,Prithvi Highway,24811305,H04,B,0,F,F,28.1589994,84.0585018,714
189,231,Prithvi Highway,24811305,H04,B,0,F,F,28.158677,84.0586292,713.1
190,233,Prithvi Highway,24811305,H04,B,0,F,F,28.1584842,84.0587121,712.7
191,235,Prithvi Highway,24811305,H04,B,0,F,F,28.1575621,84.0591662,709.8
192,237,Prithvi Highway,24811305,H04,B,0,F,F,28.1563842,84.0599114,710.7
193,239,Prithvi Highway,24811305,H04,B,0,F,F,28.1560394,84.0601528,708.9
194,241,Prithvi Highway,24811305,H04,B,0,F,F,28.1557114,84.0603727,706.7
195,243,Prithvi Highway,24811305,H04,B,0,F,F,28.1545624,84.0611634,705.9
196,245,Prithvi Highway,24811305,H04,B,0,F,F,28.1538578,84.0616197,704.1
197,247,Prithvi Highway,24811305,H04,B,0,F,F,28.1532417,84.0620377,702.1
198,249,Prithvi Highway,24811305,H04,B,0,F,F,28.1526529,84.0625138,699.1
199,251,Prithvi Highway,24811305,H04,B,0,F,F,28.1519568,84.0630637,700.9
200,253,Prithvi Highway,24811305,H04,B,0,F,F,28.1510584,84.0638028,695.9
201,255,Prithvi Highway,24811305,H04,B,0,F,F,28.150786,84.0640692,695.8
202,257,Prithvi Highway,24811305,H04,B,0,F,F,28.1507551,84.0640944,695.7
203,259,Prithvi Highway,24811305,H04,B,0,F,F,28.1504194,84.0644202,693.1
204,261,Prithvi Highway,24811305,H04,B,0,F,F,28.1501429,84.0646885,691.6
205,263,Prithvi Highway,24811305,H04,B,0,F,F,28.1497687,84.0650423,689
206,265,Prithvi Highway,24811305,H04,B,0,F,F,28.149717,84.0650912,688.7
207,267,Prithvi Highway,24811305,H04,B,0,F,F,28.1483899,84.0663529,686.1
208,269,Prithvi Highway,24811305,H04,B,0,F,F,28.1481446,84.0665872,686
209,271,Prithvi Highway,24811305,H04,B,0,F,F,28.1471879,84.0676212,686.5
210,273,Prithvi Highway,24811305,H04,B,0,F,F,28.1464117,84.0684653,685
211,275,Prithvi Highway,24811305,H04,B,0,F,F,28.1460507,84.0688532,684.7
212,277,Prithvi Highway,24811305,H04,B,0,F,F,28.145629,84.0693023,681.3
213,279,Prithvi Highway,24811305,H04,B,0,F,F,28.1451724,84.0698049,679.1
214,281,Prithvi Highway,24811305,H04,B,0,F,F,28.1447404,84.0702524,678
215,283,Prithvi Highway,24811305,H04,B,0,F,F,28.1439099,84.0712202,675
216,285,Prithvi Highway,24811305,H04,B,0,F,F,28.143661,84.0715071,673.6
217,287,Prithvi Highway,24811305,H04,B,0,F,F,28.143371,84.0718437,672.2
218,289,Prithvi Highway,24811305,H04,B,0,F,F,28.1430535,84.072207,666.9
219,291,Prithvi Highway,24811305,H04,B,0,F,F,28.1427843,84.0724971,663.1
220,293,Prithvi Highway,24811305,H04,B,0,F,F,28.1424869,84.0728776,664.8
221,295,Prithvi Highway,24811305,H04,B,0,F,F,28.1420813,84.0733332,663.5
222,297,Prithvi Highway,24811305,H04,B,0,F,F,28.1417921,84.073752,662.8
223,299,Prithvi Highway,24811305,H04,B,0,F,F,28.1417424,84.0737977,662.7
224,301,Prithvi Highway,24811305,H04,B,0,F,F,28.1414467,84.0740937,666.1
225,303,Prithvi Highway,24811305,H04,B,0,F,F,28.1411476,84.0743601,666.5
226,305,Prithvi Highway,24811305,H04,B,0,F,F,28.1408637,84.074598,666.8
227,307,Prithvi Highway,24811305,H04,B,0,F,F,28.1405913,84.0748512,665.8
228,309,Prithvi Highway,24811305,H04,B,0,F,F,28.1403587,84.0750767,665
229,311,Prithvi Highway,24811305,H04,B,0,F,F,28.1401328,84.0753168,665.6
230,313,Prithvi Highway,24811305,H04,B,0,F,F,28.1397719,84.0757215,664.6
231,315,Prithvi Highway,24811305,H04,B,0,F,F,28.1389173,84.0766562,661.1
232,317,Prithvi Highway,24811305,H04,B,0,F,F,28.1386474,84.076934,660.9
233,319,Prithvi Highway,24811305,H04,B,0,F,F,28.1384645,84.0771213,660.7
234,321,Prithvi Highway,24811305,H04,B,0,F,F,28.1380657,84.0774827,658.9
235,323,Prithvi Highway,24811305,H04,B,0,F,F,28.1376551,84.0778384,658.9
236,325,Prithvi Highway,24811305,H04,B,0,F,F,28.1361122,84.0791597,658
237,10599,Prithvi Highway,574909741,H04,B,0,F,F,28.1359868,84.0792668,657.2
238,10601,Prithvi Highway,574909741,H04,B,0,F,F,28.1359223,84.079323,656.8
239,10603,Prithvi Highway,574909741,H04,B,0,F,F,28.135581,84.0796196,654.5
240,10605,Prithvi Highway,574909741,H04,B,0,F,F,28.1349787,84.0801582,651.9
241,10607,Prithvi Highway,574909741,H04,B,0,F,F,28.1344684,84.0807203,651.4
242,10609,Prithvi Highway,574909741,H04,B,0,F,F,28.1338527,84.0813983,651
243,10611,Prithvi Highway,574909741,H04,B,0,F,F,28.1329189,84.0824399,650
