fid,field_1_1,Name,osm_id,ref,oneway,maxspeed,bridge,tunnel,y,x,z
1,"10588",Prithivi Highway,"524596051",H04,B,"0",F,F,28.209215900000000,83.986358100000004,849.000000000000000
2,"10589",Prithivi Highway,"524596051",H04,B,"0",F,F,28.209195399999999,83.986402900000002,848.799999999999955
3,"10591",Prithivi Highway,"524596051",H04,B,"0",F,F,28.208855499999999,83.987146600000003,842.600000000000023
4,"10593",Prithivi Highway,"524596051",H04,B,"0",F,F,28.208787600000001,83.987295099999997,842.000000000000000
5,"10595",Prithivi Highway,"524596051",H04,B,"0",F,F,28.208664800000001,83.987563800000004,840.200000000000045
6,"10384",Prithvi Rajmarga,"421041683",H04,B,"0",F,F,28.208400399999999,83.988142100000005,839.600000000000023
7,"10385",Prithvi Rajmarga,"421041683",H04,B,"0",F,F,28.208354799999999,83.988241799999997,839.700000000000045
8,"10387",Prithvi Rajmarga,"421041683",H04,B,"0",F,F,28.208204299999998,83.988570699999997,840.000000000000000
9,"10389",Prithvi Rajmarga,"421041683",H04,B,"0",F,F,28.207958800000000,83.989107300000001,841.299999999999955
10,"172",Seti Bridge,"24811177",H04,B,"0",T,F,28.207869700000000,83.989301900000001,842.000000000000000
11,"146",Prithvi Highway,"24811176",H04,B,"0",F,F,28.207138300000000,83.991035400000001,842.500000000000000
12,"147",Prithvi Highway,"24811176",H04,B,"0",F,F,28.207091299999998,83.991140400000006,842.500000000000000
13,"149",Prithvi Highway,"24811176",H04,B,"0",F,F,28.207053999999999,83.991221300000007,842.200000000000045
14,"151",Prithvi Highway,"24811176",H04,B,"0",F,F,28.207004399999999,83.991344400000003,841.600000000000023
15,"153",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206930000000000,83.991530699999998,841.899999999999977
16,"155",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206900999999998,83.991628800000001,842.299999999999955
17,"157",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206815200000001,83.991816999999998,842.600000000000023
18,"159",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206770299999999,83.991947199999998,843.399999999999977
19,"161",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206724200000000,83.992094699999996,844.799999999999955
20,"163",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206662099999999,83.992342300000004,846.399999999999977
21,"165",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206627099999999,83.992528399999998,846.899999999999977
22,"167",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206592600000000,83.992724899999999,846.899999999999977
23,"169",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206477000000000,83.993394499999994,847.200000000000045
24,"171",Prithvi Highway,"24811176",H04,B,"0",F,F,28.206213300000002,83.994696099999999,844.899999999999977
25,"10367",Prithvi Highway,"421022100",H04,B,"0",F,F,28.206185500000000,83.994845499999997,845.000000000000000
26,"10369",Prithvi Highway,"421022100",H04,B,"0",F,F,28.206043699999999,83.995629699999995,845.200000000000045
27,"10371",Prithvi Highway,"421022100",H04,B,"0",F,F,28.205876300000000,83.996506800000006,842.500000000000000
28,"10373",Prithvi Highway,"421022100",H04,B,"0",F,F,28.205684999999999,83.997498699999994,842.399999999999977
29,"10375",Prithvi Highway,"421022100",H04,B,"0",F,F,28.205638300000000,83.997736300000000,841.600000000000023
30,"10377",Prithvi Highway,"421022100",H04,B,"0",F,F,28.205472199999999,83.998583699999998,840.700000000000045
31,"10379",Prithvi Highway,"421022100",H04,B,"0",F,F,28.205233799999998,83.999858099999997,842.399999999999977
32,"10381",Prithvi Highway,"421022100",H04,B,"0",F,F,28.205197399999999,84.000082100000000,841.799999999999955
