fid,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,bridgeLen
59,Naya Khola Bridge,216226930,5112,trunk,H04,B,0,1,F,14.20756366,14.20756366
101,Prithvi Rajmarga,303111431,5112,trunk,H04,B,60,0,F,29.26015335,0
2,Prithvi Rajmarga,24666851,5112,trunk,H04,B,0,0,F,8.320281811,0
100,Prithvi Rajmarg,303111426,5112,trunk,H04,B,40,0,F,21.68135921,0
24000,Cut,,,,H04,,,0,F,57.23938022,0
55,Tribhuvan Rajpath,188865975,5112,trunk,H02,B,60,0,F,12.53580798,0
19,Prithvi Highway,108218584,5112,trunk,H04,B,0,0,F,19.34875185,0
54,Prithvi Rajmarg,188865974,5112,trunk,H04,B,60,0,F,84.63904551,0
57,Tribhuvan Rajpath,199430781,5112,trunk,H02,B,60,0,F,20.66814851,0
33000,Bridge,,,,H04,,,1,F,101.3356437,101.3356437
56,Tribhuvan Rajpath,199430779,5112,trunk,H02,B,60,1,F,45.44368295,45.44368295
99,Prithvi Rajmarg,302727042,5112,trunk,H04,B,0,0,F,30.81439166,0
27000,Cut,,,,H04,,,0,F,57.8618392,0
10000,Cut/Fill,,,,H04,,,0,F,47.47731933,0
147,Prithvi Rajmarg,345107844,5112,trunk,H04,B,0,0,F,7.132415428,0
146,Prithvi Rajmarga,345107841,5112,trunk,H04,B,0,1,F,17.34599712,17.34599712
22000,Cut/Fill,,,,H04,,,0,F,51.39592652,0
15,Prithvi Rajmarg,44686754,5112,trunk,H04,B,0,0,F,72.37106703,0
14,Prithvi Rajmarg,27032883,5112,trunk,H04,B,0,0,F,8.844496862,0
148,Prithvi Highway,378605306,5112,trunk,H04,B,0,1,F,43.45794896,43.45794896
40,Hugdi Khola Bridge,140332497,5112,trunk,H04,B,0,1,F,41.00915704,41.00915704
143,Prithvi Rajmarg,345035729,5112,trunk,H04,B,0,0,F,23.94651055,0
142,Prithvi Rajmarg,345035727,5112,trunk,H04,B,0,0,F,46.6530905,0
42,Prithvi Rajmarg,140332502,5112,trunk,H04,B,0,0,F,23.29018564,0
145,Prithvi Rajmarga,345035731,5112,trunk,H04,B,0,1,F,55.34640573,55.34640573
41,Prithvi Rajmarg,140332501,5112,trunk,H04,B,0,0,F,14.01379115,0
144,Prithvi Rajmarga,345035730,5112,trunk,H04,B,0,1,F,63.68042724,63.68042724
13,Prithvi Highway,27032839,5112,trunk,H04,B,0,0,F,33.30520423,0
12,Prithvi Highway,27032834,5112,trunk,H04,B,0,0,F,8.098689133,0
31000,Bridge,,,,H04,,,1,F,107.1689028,107.1689028
23000,Cut,,,,H04,,,0,F,88.63488263,0
47,Prithvi Rajmarg,140332515,5112,trunk,H04,B,0,0,F,25.84665104,0
139,Prithvi Highway,344140863,5112,trunk,H04,B,0,0,F,5.016854121,0
44,Prithvi Rajmarg,140332506,5112,trunk,H04,B,0,0,F,24.28470395,0
3000,Bridge,,,,H04,,,1,F,42.76549767,42.76549767
43,Prithvi Rajmarg,140332505,5112,trunk,H04,B,0,0,F,14.00778417,0
46,Prithvi Rajmarg,140332513,5112,trunk,H04,B,0,0,F,20.83902298,0
45,Prithvi Rajmarg,140332507,5112,trunk,H04,B,0,0,F,28.46128492,0
7000,Cut/Fill,,,,H04,,,0,F,364.9633333,0
11000,Cut/Fill,,,,H04,,,0,F,26.81120184,0
35000,Tunnel+Bridge,,,,H04,,,0,T,5619.34092,0
34000,Tunnel+Bridge,,,,H04,,,0,T,5609.773013,0
136,Prithvi Highway,342743290,5112,trunk,H04,B,0,1,F,48.82733049,48.82733049
135,Prithvi Highway,342743289,5112,trunk,H04,B,0,0,F,30.03511999,0
30000,Cut,,,,H04,,,0,F,78.76499899,0
132,Prithvi Rajmarga,342372009,5112,trunk,H04,B,0,1,F,17.75642683,17.75642683
131,Prithvi Rajmarg,342372008,5112,trunk,H04,B,0,0,F,117.6827319,0
124,Prithvi Highway,342127840,5112,trunk,H04,B,0,0,F,50.99995294,0
134,Prithvi Highway,342738951,5112,trunk,H04,B,0,0,F,50.60178844,0
30,Malekhu Khola,140332481,5112,trunk,H04,B,0,1,F,66.87160697,66.87160697
73,Tribhuvan Rajpath,229195915,5112,trunk,H02,B,40,0,F,13.0603406,0
133,Prithvi Highway,342738949,5112,trunk,H04,B,0,1,F,26.14427483,26.14427483
72,Tribhuvan Rajpath,229195914,5112,trunk,H02,B,60,0,F,7.373541219,0
75,Tribhuvan Rajpath,232502594,5112,trunk,H02,B,60,0,F,66.45390027,0
74,Tribhuvan Rajpath,232502593,5112,trunk,H02,B,60,0,F,42.86524908,0
37,Khatauti Khola Bridge,140332494,5112,trunk,H04,B,0,1,F,13.6458785,13.6458785
36,Barbang Khola Bridge,140332492,5112,trunk,H04,B,0,1,F,27.9764791,27.9764791
71,Tribhuvan Rajpath,229075032,5112,trunk,H02,B,40,0,F,18.26786343,0
39,Belkhu Khola Bridge,140332496,5112,trunk,H04,B,0,1,F,49.83550211,49.83550211
70,Prithvi Highway,216643915,5112,trunk,H04,B,0,0,F,60.53426569,0
38,Mowa Khola Bridge,140332495,5112,trunk,H04,B,0,1,F,27.71602814,27.71602814
33,Prithvi Rajmarg,140332489,5112,trunk,H04,B,0,0,F,18.68032193,0
32,Pokhare khola,140332488,5112,trunk,H04,B,0,1,F,22.56796012,22.56796012
118,Prithvi Highway,340986877,5112,trunk,H04,B,0,0,F,18.16062561,0
35,Prithvi Rajmarg,140332491,5112,trunk,H04,B,0,0,F,28.05652942,0
20000,Cut/Fill,,,,H04,,,0,F,58.32558314,0
34,Prithvi Rajmarg,140332490,5112,trunk,H04,B,0,0,F,54.39123169,0
5000,Bridge,,,,H04,,,1,F,101.4572326,101.4572326
9000,Cut/Fill,,,,H04,,,0,F,46.1848158,0
29,Prithvi Rajmarga,140332470,5112,trunk,H04,B,0,1,F,14.14972184,14.14972184
18000,Cut/Fill,,,,H04,,,0,F,78.52022873,0
163,Prithvi Highway,574909741,5112,trunk,H04,B,0,0,F,17.43058323,0
14000,Bridge,,,,H04,,,1,F,260.0866946,260.0866946
8000,Cut/Fill,,,,H04,,,0,F,55.09069644,0
32000,Bridge,,,,H04,,,1,F,93.10093988,93.10093988
16000,Cut/Fill,,,,H04,,,0,F,155.4028503,0
4000,Bridge,,,,H04,,,1,F,46.22894434,46.22894434
62,Madi Bridge,216519794,5112,trunk,H04,B,0,1,F,357.6611937,357.6611937
61,Prithvi Highway,216519784,5112,trunk,H04,B,0,0,F,12.83871021,0
114,Prithvi Highway,340931655,5112,trunk,H04,B,0,1,F,28.86099284,28.86099284
64,Prithvi Highway,216522096,5112,trunk,H04,B,0,1,F,44.64447352,44.64447352
63,Prithvi Highway,216522094,5112,trunk,H04,B,0,0,F,41.54126219,0
13000,Cut/Fill,,,,H04,,,0,F,53.25683878,0
115,Prithvi Highway,340931656,5112,trunk,H04,B,0,0,F,29.40304547,0
26000,Cut,,,,H04,,,0,F,73.84043135,0
110,Prithvi Highway,340816486,5112,trunk,H04,B,0,1,F,58.88422325,58.88422325
60,Tribhuvan Rajpath,216281900,5112,trunk,H02,B,60,0,F,46.56601676,0
17000,Cut/Fill,,,,H04,,,0,F,88.84773166,0
111,Prithvi Highway,340844083,5112,trunk,H04,B,0,0,F,10.34473838,0
69,Prithvi Highway,216643914,5112,trunk,H04,B,0,1,F,26.9334522,26.9334522
1000,Cut,,,,H04,,,0,F,93.92377993,0
