,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,vertex_index,vertex_part,vertex_part_index,distance,angle,y,x,id,id2,fid,z
10588,Prithivi Highway,524596051,5112,trunk,H04,B,0,F,F,4.950194008,0,0,0,0,114.5883248,28.2092159,83.9863581,0,0,1,849
10589,Prithivi Highway,524596051,5112,trunk,H04,B,0,F,F,4.950194008,1,0,1,4.93E-05,114.5883248,28.2091954,83.9864029,1,1,2,848.8
10591,Prithivi Highway,524596051,5112,trunk,H04,B,0,F,F,82.15473862,1,0,1,0.000817693,114.5622552,28.2088555,83.9871466,2,2,3,842.6
10593,Prithivi Highway,524596051,5112,trunk,H04,B,0,F,F,16.40596888,1,0,1,0.000163287,114.5717303,28.2087876,83.9872951,3,3,4,842
10595,Prithivi Highway,524596051,5112,trunk,H04,B,0,F,F,29.68237768,1,0,1,0.000295431,114.5611239,28.2086648,83.9875638,4,4,5,840.2
10384,Prithvi Rajmarga,421041683,5112,trunk,H04,B,0,F,F,11.01535732,0,0,0,0,114.5780354,28.2084004,83.9881421,5,5,6,839.6
10385,Prithvi Rajmarga,421041683,5112,trunk,H04,B,0,F,F,11.01535732,1,0,1,0.000109633,114.5780354,28.2083548,83.9882418,6,6,7,839.7
10387,Prithvi Rajmarga,421041683,5112,trunk,H04,B,0,F,F,36.34212732,1,0,1,0.000361698,114.5881641,28.2082043,83.9885707,7,7,8,840
10389,Prithvi Rajmarga,421041683,5112,trunk,H04,B,0,F,F,59.29016369,1,0,1,0.000590093,114.5845803,28.2079588,83.9891073,8,8,9,841.3
172,Seti Bridge,24811177,5112,trunk,H04,B,0,T,F,188.4997196,0,0,0,0,112.875901,28.2078697,83.9893019,9,9,10,842
146,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,11.54940988,0,0,0,0,114.1141985,28.2071383,83.9910354,10,10,11,842.5
147,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,11.54940988,1,0,1,0.000115039,114.1141985,28.2070913,83.9911404,11,11,12,842.5
149,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,8.9535536,1,0,1,8.91E-05,114.7526804,28.207054,83.9912213,12,12,13,842.2
151,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,13.27648997,1,0,1,0.000132717,111.9457109,28.2070044,83.9913444,13,13,14,841.6
153,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,20.06230671,1,0,1,0.000200607,111.7695873,28.20693,83.9915307,14,14,15,841.9
155,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,10.15289629,1,0,1,0.000102297,106.4685602,28.206901,83.9916288,15,15,16,842.3
157,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,20.77942651,1,0,1,0.000206835,114.5081466,28.2068152,83.991817,16,16,17,842.6
159,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,13.71656774,1,0,1,0.000137725,109.0269622,28.2067703,83.9919472,17,17,18,843.4
161,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,15.35541188,1,0,1,0.000154536,107.3562364,28.2067242,83.9920947,18,18,19,844.8
163,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,25.26323212,1,0,1,0.000255269,104.0797937,28.2066621,83.9923423,19,19,20,846.4
165,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,18.67730715,1,0,1,0.000189363,100.6512529,28.2066271,83.9925284,20,20,21,846.9
167,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,19.66635336,1,0,1,0.000199506,99.9580706,28.2065926,83.9927249,21,21,22,846.9
169,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,66.97381018,1,0,1,0.000679505,99.79501437,28.206477,83.9933945,22,22,23,847.2
171,Prithvi Highway,24811176,5112,trunk,H04,B,0,F,F,131.0822673,1,0,1,0.001328044,101.4529241,28.2062133,83.9946961,23,23,24,844.9
10367,Prithvi Highway,421022100,5112,trunk,H04,B,0,F,F,14.98727421,1,0,1,0.000151964,100.5409078,28.2061855,83.9948455,24,24,25,845
