id,fid,X,Y,Z,name,ref,oneway,maxspeed,bridge,tunnel
1,159,498876.5347,3121038.085,849,Prithivi Highway,H04,B,0,F,F
2,159,498880.9321,3121035.813,848.8,Prithivi Highway,H04,B,0,F,F
3,159,498953.9303,3120998.14,842.6,Prithivi Highway,H04,B,0,F,F
4,159,498968.5064,3120990.615,842,Prithivi Highway,H04,B,0,F,F
5,159,498994.881,3120977.004,840.2,Prithivi Highway,H04,B,0,F,F
6,159,499051.6448,3120947.7,839.6,Prithivi Highway,H04,B,0,F,F
7,153,499061.431,3120942.646,839.7,Prithvi Rajmarga,H04,B,0,F,F
8,153,499093.7148,3120925.966,840,Prithvi Rajmarga,H04,B,0,F,F
9,153,499146.3859,3120898.757,841.3,Prithvi Rajmarga,H04,B,0,F,F
10,153,499165.4873,3120888.882,842,Prithvi Rajmarga,H04,B,0,F,F
11,7,499335.6452,3120807.821,842.5,Seti Bridge,H04,B,0,T,F
12,6,499345.9519,3120802.612,842.5,Prithvi Highway,H04,B,0,F,F
13,6,499353.893,3120798.479,842.2,Prithvi Highway,H04,B,0,F,F
14,6,499365.9764,3120792.981,841.6,Prithvi Highway,H04,B,0,F,F
15,6,499384.2636,3120784.736,841.9,Prithvi Highway,H04,B,0,F,F
16,6,499393.8932,3120781.522,842.3,Prithvi Highway,H04,B,0,F,F
17,6,499412.3668,3120772.013,842.6,Prithvi Highway,H04,B,0,F,F
18,6,499425.1473,3120767.037,843.4,Prithvi Highway,H04,B,0,F,F
19,6,499439.626,3120761.927,844.8,Prithvi Highway,H04,B,0,F,F
20,6,499463.9307,3120755.044,846.4,Prithvi Highway,H04,B,0,F,F
21,6,499482.1987,3120751.165,846.9,Prithvi Highway,H04,B,0,F,F
22,6,499501.4875,3120747.341,846.9,Prithvi Highway,H04,B,0,F,F
23,6,499567.2169,3120734.527,847.2,Prithvi Highway,H04,B,0,F,F
24,6,499694.9849,3120705.3,844.9,Prithvi Highway,H04,B,0,F,F
25,152,499709.6504,3120702.219,845,Prithvi Highway,H04,B,0,F,F
26,152,499786.6298,3120686.503,845.2,Prithvi Highway,H04,B,0,F,F
27,152,499872.7286,3120667.95,842.5,Prithvi Highway,H04,B,0,F,F
28,152,499970.0969,3120646.75,842.4,Prithvi Highway,H04,B,0,F,F
29,152,499993.4206,3120641.574,841.6,Prithvi Highway,H04,B,0,F,F
30,152,500076.6046,3120623.167,840.7,Prithvi Highway,H04,B,0,F,F
31,152,500201.705,3120596.749,842.4,Prithvi Highway,H04,B,0,F,F
32,152,500223.6939,3120592.716,841.8,Prithvi Highway,H04,B,0,F,F
33,152,500273.4437,3120583.685,843.5,Prithvi Highway,H04,B,0,F,F
34,158,500290.8777,3120582.798,843.1,Prithvi Highway,H04,F,0,F,F
35,158,500303.9042,3120581.025,842.5,Prithvi Highway,H04,F,0,F,F
36,20,500305.8773,3120582.156,842.4,Prithvi Highway,H04,F,0,F,F
37,20,500310.1572,3120583.685,842.1,Prithvi Highway,H04,F,0,F,F
38,20,500314.1722,3120583.585,841.8,Prithvi Highway,H04,F,0,F,F
39,20,500317.9319,3120582.2,841.5,Prithvi Highway,H04,F,0,F,F
40,20,500320.5038,3120580.228,841.3,Prithvi Highway,H04,F,0,F,F
41,20,500322.4671,3120577.646,841.2,Prithvi Highway,H04,F,0,F,F
42,20,500322.5751,3120577.38,841.2,Prithvi Highway,H04,F,0,F,F
43,20,500323.6746,3120574.643,841.1,Prithvi Highway,H04,F,0,F,F
44,20,500324.028,3120571.429,841,Prithvi Highway,H04,F,0,F,F
45,20,500322.9973,3120566.011,841.1,Prithvi Highway,H04,F,0,F,F
46,155,500343.72,3120555.683,840.6,Prithvi Highway,H04,B,0,F,F
47,155,500448.2566,3120506.119,840.9,Prithvi Highway,H04,B,0,F,F
48,155,500506.9994,3120475.847,840.5,Prithvi Highway,H04,B,0,F,F
49,155,500605.7063,3120427.514,840.3,Prithvi Highway,H04,B,0,F,F
50,155,500731.6362,3120365.952,838.4,Prithvi Highway,H04,B,0,F,F
51,155,500784.608,3120340.058,838.8,Prithvi Highway,H04,B,0,F,F
52,155,500842.3903,3120311.217,839,Prithvi Highway,H04,B,0,F,F
53,155,500902.9314,3120282.354,834.6,Prithvi Highway,H04,B,0,F,F
54,155,500972.9267,3120249.06,832.7,Prithvi Highway,H04,B,0,F,F
55,155,501039.7613,3120215.688,833.9,Prithvi Highway,H04,B,0,F,F
56,155,501122.6965,3120173.586,833.1,Prithvi Highway,H04,B,0,F,F
57,19,501139.6999,3120164.356,832.8,Prithvi Highway,H04,B,0,F,F
58,19,501258.1641,3120108.728,832,Prithvi Highway,H04,B,0,F,F
59,19,501345.9703,3120062.971,830.5,Prithvi Highway,H04,B,0,F,F
60,19,501359.057,3120054.883,830.2,Prithvi Highway,H04,B,0,F,F
61,19,501402.4111,3120027.805,829.2,Prithvi Highway,H04,B,0,F,F
62,19,501442.1724,3119999.929,825.8,Prithvi Highway,H04,B,0,F,F
63,19,501545.494,3119927.415,825.7,Prithvi Highway,H04,B,0,F,F
64,19,501571.9038,3119908.646,825.3,Prithvi Highway,H04,B,0,F,F
65,19,501575.183,3119906.32,825.1,Prithvi Highway,H04,B,0,F,F
66,19,501650.7412,3119852.641,820,Prithvi Highway,H04,B,0,F,F
67,19,501685.9972,3119828.477,820.8,Prithvi Highway,H04,B,0,F,F
68,19,501713.1636,3119808.235,821.1,Prithvi Highway,H04,B,0,F,F
69,19,501874.396,3119692.958,816.1,Prithvi Highway,H04,B,0,F,F
70,19,501885.1273,3119685.28,815.9,Prithvi Highway,H04,B,0,F,F
71,19,501895.5543,3119677.17,815.4,Prithvi Highway,H04,B,0,F,F
72,19,501983.9183,3119615.805,812.2,Prithvi Highway,H04,B,0,F,F
73,19,502097.399,3119533.811,813.3,Prithvi Highway,H04,B,0,F,F
74,19,502263.5279,3119418.507,808.4,Prithvi Highway,H04,B,0,F,F
75,19,502380.7216,3119347.021,803.3,Prithvi Highway,H04,B,0,F,F
76,19,502485.9382,3119281.286,802,Prithvi Highway,H04,B,0,F,F
77,19,502578.5093,3119223.671,800.4,Prithvi Highway,H04,B,0,F,F
78,154,502645.9057,3119182.02,799.1,Prithvi Highway,H04,B,0,F,F
79,154,502672.0336,3119166.501,798.1,Prithvi Highway,H04,B,0,F,F
80,154,502679.0636,3119163.333,797.2,Prithvi Highway,H04,B,0,F,F
81,154,502687.2717,3119160.952,796.2,Prithvi Highway,H04,B,0,F,F
82,154,502697.2564,3119159.913,795,Prithvi Highway,H04,B,0,F,F
83,154,502706.1905,3119159.903,794,Prithvi Highway,H04,B,0,F,F
84,154,502713.5534,3119161.035,793.1,Prithvi Highway,H04,B,0,F,F
85,154,502722.1039,3119164.383,792,Prithvi Highway,H04,B,0,F,F
86,154,502729.5547,3119168.108,791.2,Prithvi Highway,H04,B,0,F,F
87,154,502736.0725,3119173.251,790.2,Prithvi Highway,H04,B,0,F,F
88,154,502742.1286,3119179.813,789,Prithvi Highway,H04,B,0,F,F
89,154,502749.0678,3119188.369,787.4,Prithvi Highway,H04,B,0,F,F
