y,x,z
"28.20921590","83.98635810",849.000
"28.20919540","83.98640290",848.800
"28.20885550","83.98714660",842.600
"28.20878760","83.98729510",842.000
"28.20866480","83.98756380",840.200
"28.20840040","83.98814210",839.600
"28.20835480","83.98824180",839.700
"28.20820430","83.98857070",840.000
"28.20795880","83.98910730",841.300
"28.20786970","83.98930190",842.000
"28.20713830","83.99103540",842.500
"28.20709130","83.99114040",842.500
"28.20705400","83.99122130",842.200
"28.20700440","83.99134440",841.600
"28.20693000","83.99153070",841.900
"28.20690100","83.99162880",842.300
"28.20681520","83.99181700",842.600
"28.20677030","83.99194720",843.400
"28.20672420","83.99209470",844.800
"28.20666210","83.99234230",846.400
"28.20662710","83.99252840",846.900
"28.20659260","83.99272490",846.900
"28.20647700","83.99339450",847.200
"28.20621330","83.99469610",844.900
"28.20618550","83.99484550",845.000
"28.20604370","83.99562970",845.200
"28.20587630","83.99650680",842.500
"28.20568500","83.99749870",842.400
"28.20563830","83.99773630",841.600
"28.20547220","83.99858370",840.700
"28.20523380","83.99985810",842.400
"28.20519740","84.00008210",841.800
"28.20511590","84.00058890",843.500
"28.20510790","84.00076650",843.100
"28.20509190","84.00089920",842.500
"28.20510210","84.00091930",842.400
"28.20511590","84.00096290",842.100
"28.20511500","84.00100380",841.800
"28.20510250","84.00104210",841.500
"28.20508470","84.00106830",841.300
"28.20506140","84.00108830",841.200
"28.20505900","84.00108940",841.200
"28.20503430","84.00110060",841.100
"28.20500530","84.00110420",841.000
"28.20495640","84.00109370",841.100
"28.20493820","84.00107590",841.200
"28.20490820","84.00103130",841.500
"28.20490220","84.00098170",841.800
"28.20490600","84.00093540",842.100
"28.20493290","84.00089010",842.400
"28.20497430","84.00086240",842.700
"28.20498670","84.00085680",842.800
"28.20505530","84.00086870",842.700
"28.20486320","84.00130480",840.600
"28.20441590","84.00236970",840.900
"28.20414270","84.00296810",840.500
"28.20370650","84.00397360",840.300
"28.20315090","84.00525640",838.400
"28.20291720","84.00579600",838.800
"28.20265690","84.00638460",839.000
"28.20239640","84.00700130",834.600
"28.20209590","84.00771430",832.700
"28.20179470","84.00839510",833.900
"28.20141470","84.00923990",833.100
"28.20133140","84.00941310",832.800
"28.20082930","84.01061980",832.000
"28.20041630","84.01151420",830.500
"28.20034330","84.01164750",830.200
"28.20009890","84.01208910",829.200
"28.19984730","84.01249410",825.800
"28.19919280","84.01354650",825.700
"28.19902340","84.01381550",825.300
"28.19900240","84.01384890",825.100
"28.19851790","84.01461850",820.000
"28.19829980","84.01497760",820.800
"28.19811710","84.01525430",821.100
"28.19707660","84.01689650",816.100
"28.19700730","84.01700580",815.900
"28.19693410","84.01711200",815.400
"28.19638020","84.01801200",812.200
"28.19564010","84.01916780",813.300
"28.19459930","84.02085980",808.400
"28.19395400","84.02205340",803.300
"28.19336060","84.02312500",802.000
"28.19284050","84.02406780",800.400
"28.19246450","84.02475420",799.100
"28.19232440","84.02502030",798.100
"28.19229580","84.02509190",797.200
"28.19227430","84.02517550",796.200
"28.19226490","84.02527720",795.000
"28.19226480","84.02536820",794.000
"28.19227500","84.02544320",793.100
"28.19230520","84.02553030",792.000
"28.19233880","84.02560620",791.200
"28.19238520","84.02567260",790.200
"28.19244440","84.02573430",789.000
"28.19252160","84.02580500",787.400
"28.19288620","84.02600090",783.100
"28.19315620","84.02616740",780.400
"28.19322210","84.02621240",780.800
"28.19327850","84.02626010",781.100
"28.19332310","84.02631320",781.400
"28.19336060","84.02636630",781.500
"28.19355110","84.02661920",780.000
"28.19361490","84.02675380",778.800
"28.19363910","84.02685680",777.400
"28.19364170","84.02693780",776.300
"28.19363480","84.02700810",775.300
"28.19339050","84.02779550",777.000
"28.19333750","84.02798930",780.000
"28.19327310","84.02817750",781.900
"28.19324400","84.02828000",782.800
"28.19320780","84.02836100",783.300
"28.19316380","84.02843190",783.700
"28.19308440","84.02851350",784.100
"28.19230290","84.02903150",786.300
"28.19210110","84.02916710",789.400
"28.19177630","84.02943160",793.800
"28.19129920","84.02989380",792.100
"28.19071670","84.03046740",792.100
"28.19029670","84.03087420",790.100
"28.19003820","84.03113800",790.100
"28.18980170","84.03136990",789.600
"28.18927990","84.03188580",786.900
"28.18883550","84.03232690",786.300
"28.18871960","84.03244400",785.500
