fid,field_1,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,distance,angle,y,x,z
"1","10588",Prithivi Highway,"524596051","5112",trunk,H04,B,"0",F,F,4.950194008,0,114.5883248,28.2092159,83.9863581,849
"2","10589",Prithivi Highway,"524596051","5112",trunk,H04,B,"0",F,F,4.950194008,4.93e-05,114.5883248,28.2091954,83.9864029,848.8
"3","10591",Prithivi Highway,"524596051","5112",trunk,H04,B,"0",F,F,82.15473862,0.000817693,114.5622552,28.2088555,83.9871466,842.6
"4","10593",Prithivi Highway,"524596051","5112",trunk,H04,B,"0",F,F,16.40596888,0.000163287,114.5717303,28.2087876,83.9872951,842
"5","10595",Prithivi Highway,"524596051","5112",trunk,H04,B,"0",F,F,29.68237768,0.000295431,114.5611239,28.2086648,83.9875638,840.2
"6","10384",Prithvi Rajmarga,"421041683","5112",trunk,H04,B,"0",F,F,11.01535732,0,114.5780354,28.2084004,83.9881421,839.6
"7","10385",Prithvi Rajmarga,"421041683","5112",trunk,H04,B,"0",F,F,11.01535732,0.000109633,114.5780354,28.2083548,83.9882418,839.7
"8","10387",Prithvi Rajmarga,"421041683","5112",trunk,H04,B,"0",F,F,36.34212732,0.000361698,114.5881641,28.2082043,83.9885707,840
"9","10389",Prithvi Rajmarga,"421041683","5112",trunk,H04,B,"0",F,F,59.29016369,0.000590093,114.5845803,28.2079588,83.9891073,841.3
"10","172",Seti Bridge,"24811177","5112",trunk,H04,B,"0",T,F,188.4997196,0,112.875901,28.2078697,83.9893019,842
"11","146",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,11.54940988,0,114.1141985,28.2071383,83.9910354,842.5
"12","147",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,11.54940988,0.000115039,114.1141985,28.2070913,83.9911404,842.5
"13","149",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,8.9535536,8.91e-05,114.7526804,28.207054,83.9912213,842.2
"14","151",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,13.27648997,0.000132717,111.9457109,28.2070044,83.9913444,841.6
"15","153",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,20.06230671,0.000200607,111.7695873,28.20693,83.9915307,841.9
"16","155",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,10.15289629,0.000102297,106.4685602,28.206901,83.9916288,842.3
"17","157",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,20.77942651,0.000206835,114.5081466,28.2068152,83.991817,842.6
"18","159",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,13.71656774,0.000137725,109.0269622,28.2067703,83.9919472,843.4
"19","161",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,15.35541188,0.000154536,107.3562364,28.2067242,83.9920947,844.8
"20","163",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,25.26323212,0.000255269,104.0797937,28.2066621,83.9923423,846.4
"21","165",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,18.67730715,0.000189363,100.6512529,28.2066271,83.9925284,846.9
"22","167",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,19.66635336,0.000199506,99.9580706,28.2065926,83.9927249,846.9
"23","169",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,66.97381018,0.000679505,99.79501437,28.206477,83.9933945,847.2
"24","171",Prithvi Highway,"24811176","5112",trunk,H04,B,"0",F,F,131.0822673,0.001328044,101.4529241,28.2062133,83.9946961,844.9
