ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,fid
1308.9,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>626743.8428</td></tr><tr><td><b>y</b></td><td>3066130.88</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td></td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td></td></tr><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>295.304705</td></tr></table>",,,,,,,,,,,,,,,,,
1377.7,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>625732.6091</td></tr><tr><td><b>y</b></td><td>3066608.99</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>1</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>1</td></tr><tr><td><b>distance</b></td><td>1118.562616</td></tr><tr><td><b>angle</b></td><td>297.0736825</td></tr></table>",,,,,,,,,,,,,,,,,
1350.4,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>624982.6199</td></tr><tr><td><b>y</b></td><td>3067022.027</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>2</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>2</td></tr><tr><td><b>distance</b></td><td>1974.76577</td></tr><tr><td><b>angle</b></td><td>303.7895848</td></tr></table>",,,,,,,,,,,,,,,,,
1368.5,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>624488.0618</td></tr><tr><td><b>y</b></td><td>3067418.761</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>3</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>3</td></tr><tr><td><b>distance</b></td><td>2608.788748</td></tr><tr><td><b>angle</b></td><td>289.66057</td></tr></table>",,,,,,,,,,,,,,,,,
1361.8,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>623955.4608</td></tr><tr><td><b>y</b></td><td>3067424.195</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>4</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>4</td></tr><tr><td><b>distance</b></td><td>3141.417515</td></tr><tr><td><b>angle</b></td><td>297.9961709</td></tr></table>",,,,,,,,,,,,,,,,,
1363.7,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>623738.0726</td></tr><tr><td><b>y</b></td><td>3067739.408</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>5</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>5</td></tr><tr><td><b>distance</b></td><td>3524.323206</td></tr><tr><td><b>angle</b></td><td>300.9332638</td></tr></table>",,,,,,,,,,,,,,,,,
1374.9,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>623161.9939</td></tr><tr><td><b>y</b></td><td>3067804.625</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>6</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>6</td></tr><tr><td><b>distance</b></td><td>4104.081628</td></tr><tr><td><b>angle</b></td><td>297.8708474</td></tr></table>",,,,,,,,,,,,,,,,,
1394.1,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>622876.6719</td></tr><tr><td><b>y</b></td><td>3068136.142</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>7</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>7</td></tr><tr><td><b>distance</b></td><td>4541.47406</td></tr><tr><td><b>angle</b></td><td>313.9713434</td></tr></table>",,,,,,,,,,,,,,,,,
1406,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>622509.8294</td></tr><tr><td><b>y</b></td><td>3068429.616</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>8</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>8</td></tr><tr><td><b>distance</b></td><td>5011.261749</td></tr><tr><td><b>angle</b></td><td>319.0045701</td></tr></table>",,,,,,,,,,,,,,,,,
1430.2,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>622379.3965</td></tr><tr><td><b>y</b></td><td>3068649.721</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>9</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>9</td></tr><tr><td><b>distance</b></td><td>5267.111683</td></tr><tr><td><b>angle</b></td><td>347.5299626</td></tr></table>",,,,,,,,,,,,,,,,,
