X,Y,Z,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
498994.56182021,3120863.05256868,839.782,"0","0","0",839.782,,,,,,,,,,,,,,,,,,,,,,
510578.299862309,3109989.56555919,624.733,"0","0","1",624.733,,,,,,,,,,,,,,,,,,,,,,
511342.988256955,3108494.88902505,742.866,"0","0","2",742.866,,,,,,,,,,,,,,,,,,,,,,
511924.967621582,3107707.92515817,766.077,"0","0","3",766.077,,,,,,,,,,,,,,,,,,,,,,
512027.741946157,3107624.10799466,774.728,"0","0","4",774.728,,,,,,,,,,,,,,,,,,,,,,
511933.445175495,3107311.02071415,801.839,"0","0","5",801.839,,,,,,,,,,,,,,,,,,,,,,
512090.350059252,3107051.68431423,862.093,"0","0","6",862.093,,,,,,,,,,,,,,,,,,,,,,
512402.996543221,3106599.23680543,995.189,"0","0","7",995.189,,,,,,,,,,,,,,,,,,,,,,
513202.911305445,3105764.51411178,1118.055,"0","0","8",1118.055,,,,,,,,,,,,,,,,,,,,,,
521267.822455474,3102393.76959194,485.91,"0","0","9",485.91,,,,,,,,,,,,,,,,,,,,,,
524778.128804772,3102355.31992784,529.976,"0","0","10",529.976,,,,,,,,,,,,,,,,,,,,,,
531683.742954034,3104949.51573338,637.271,"0","0","11",637.271,,,,,,,,,,,,,,,,,,,,,,
535570.453146195,3103627.18945444,567.263,"0","0","12",567.263,,,,,,,,,,,,,,,,,,,,,,
543412.550510066,3098142.29387936,506.064,"0","0","13",506.064,,,,,,,,,,,,,,,,,,,,,,
554427.800614719,3092418.48277576,365.198,"0","0","14",365.198,,,,,,,,,,,,,,,,,,,,,,
562021.120581448,3091415.40412641,965.497,"0","0","15",965.497,,,,,,,,,,,,,,,,,,,,,,
563093.474125594,3090755.29865685,1031.792,"0","0","16",1031.792,,,,,,,,,,,,,,,,,,,,,,
563554.741578637,3090031.93629421,1107.561,"0","0","17",1107.561,,,,,,,,,,,,,,,,,,,,,,
564578.69836142,3089458.45781505,1136.312,"0","0","18",1136.312,,,,,,,,,,,,,,,,,,,,,,
566814.155774713,3087422.53126986,1122.954,"0","0","19",1122.954,,,,,,,,,,,,,,,,,,,,,,
567859.659562165,3086324.4836957,1448.738,"0","0","20",1448.738,,,,,,,,,,,,,,,,,,,,,,
570582.0850457,3086617.90781711,865.796,"0","0","21",865.796,,,,,,,,,,,,,,,,,,,,,,
572405.141019272,3085731.52586584,573.554,"0","0","22",573.554,,,,,,,,,,,,,,,,,,,,,,
574202.330687462,3083973.5071722,377.953,"0","0","23",377.953,,,,,,,,,,,,,,,,,,,,,,
575321.9437442,3081750.43689553,513.882,"0","0","24",513.882,,,,,,,,,,,,,,,,,,,,,,
576749.835098558,3077573.76599119,393.548,"0","0","25",393.548,,,,,,,,,,,,,,,,,,,,,,
577481.11652618,3077325.74787668,372.383,"0","0","26",372.383,,,,,,,,,,,,,,,,,,,,,,
579885.182452344,3077774.50877789,371.1,"0","0","27",371.1,,,,,,,,,,,,,,,,,,,,,,
598456.354710522,3075682.89158748,432.946,"0","0","28",432.946,,,,,,,,,,,,,,,,,,,,,,
603409.918803275,3070524.47546685,574.11,"0","0","29",574.11,,,,,,,,,,,,,,,,,,,,,,
611226.34430727,3069013.55762245,814.941,"0","0","30",814.941,,,,,,,,,,,,,,,,,,,,,,
611767.50059985,3069552.67297616,869.344,"0","0","31",869.344,,,,,,,,,,,,,,,,,,,,,,
615564.159306732,3069512.93226041,942.099,"0","0","32",942.099,,,,,,,,,,,,,,,,,,,,,,
618440.102925586,3069938.61663486,1082.78,"0","0","33",1082.78,,,,,,,,,,,,,,,,,,,,,,
620389.082601744,3069873.04123144,1265.057,"0","0","34",1265.057,,,,,,,,,,,,,,,,,,,,,,
621063.019912614,3069791.14906504,1436.629,"0","0","35",1436.629,,,,,,,,,,,,,,,,,,,,,,
621423.371224009,3069857.3950312,1427.689,"0","0","36",1427.689,,,,,,,,,,,,,,,,,,,,,,
621483.625637742,3069669.6517275,1455.951,"0","0","37",1455.951,,,,,,,,,,,,,,,,,,,,,,
621550.243088835,3069574.00615167,1466.499,"0","0","38",1466.499,,,,,,,,,,,,,,,,,,,,,,
621406.443238835,3069512.06676538,1438.746,"0","0","39",1438.746,,,,,,,,,,,,,,,,,,,,,,
621259.879259401,3069170.40790638,1417.301,"0","0","40",1417.301,,,,,,,,,,,,,,,,,,,,,,
621672.607485845,3068781.62650736,1513.478,"0","0","41",1513.478,,,,,,,,,,,,,,,,,,,,,,
626743.843099634,3066130.88045657,1308.935,"0","0","42",1308.935,,,,,,,,,,,,,,,,,,,,,,
