X,Y,Z,id,vertex_index,vertex_part,vertex_part_index,distance,angle
510584.443716595,3109979.69331707,0,"1","0","0","0",0.00000000000000,137.17804444911164
511041.389036624,3109486.61640135,0,"1","1","0","1",672.25283213830312,155.07482411203659
511066.792688532,3109280.56455769,0,"1","2","0","2",879.86474847950478,142.70229736159794
511374.459139579,3109153.54629792,0,"1","3","0","3",1212.71949670326876,145.61662735796855
511385.749651506,3108614.42435079,0,"1","4","0","4",1751.95965611878364,149.39947267014765
511659.544566655,3108456.35718308,0,"1","5","0","5",2068.10659200913142,139.17712323189946
511730.110266424,3108278.53161937,0,"1","6","0","6",2259.42164392924178,128.43007206988977
512032.131461498,3108233.36957147,0,"1","7","0","7",2564.80077361060603,139.91839955258322
512023.663577495,3107869.25056006,0,"1","8","0","8",2929.01823547603090,159.90022457856912
512198.666512943,3107671.66660039,0,"1","9","0","9",3192.96036650686574,171.72473443895876
512082.93876528,3107423.27533679,0,"1","10","0","10",3466.98797718526930,190.63297524093943
512097.051905219,3107205.93298114,0,"1","11","0","11",3684.78806964567866,153.55713720985904
512387.78258831,3106954.71908957,0,"1","12","0","12",4069.01814317982189,130.84744609106994
512638.996479522,3106737.37673394,0,"1","13","0","13",4401.20200595620736,130.87654993103973
512870.451974799,3106536.97014629,0,"1","14","0","14",4707.36282426846356,150.76063062795185
512915.614022638,3106263.17523074,0,"1","15","0","15",4984.85744826458267,133.78723674749864
513240.216241642,3106223.65843883,0,"1","16","0","16",5311.85619050267178,96.94098343424506
