fid,X,Y,Z,bridge,osm_id,code,fclass,name,ref,oneway,maxspeed,tunnel,len,Length,vertex_index,vertex_part,vertex_part_index,distance,angle,
1000,626743.8428,3066130.88,1308.935,F,,,,last sec,,,0,F,,6509.113253,0,0,0,0,295.304705,FALSE
1000,625732.6091,3066608.99,1377.742,F,,,,last sec,,,0,F,,6509.113253,1,0,1,1118.562616,297.0736825,FALSE
1000,624982.6199,3067022.027,1350.44,F,,,,last sec,,,0,F,,6509.113253,2,0,2,1974.76577,303.7895848,FALSE
1000,624488.0618,3067418.761,1368.475,F,,,,last sec,,,0,F,,6509.113253,3,0,3,2608.788748,289.66057,FALSE
1000,623955.4608,3067424.195,1361.763,F,,,,last sec,,,0,F,,6509.113253,4,0,4,3141.417515,297.9961709,FALSE
1000,623738.0726,3067739.408,1363.72,F,,,,last sec,,,0,F,,6509.113253,5,0,5,3524.323206,300.9332638,FALSE
1000,623161.9939,3067804.625,1374.908,F,,,,last sec,,,0,F,,6509.113253,6,0,6,4104.081628,297.8708474,FALSE
1000,622876.6719,3068136.142,1394.113,F,,,,last sec,,,0,F,,6509.113253,7,0,7,4541.47406,313.9713434,FALSE
1000,622509.8294,3068429.616,1405.957,F,,,,last sec,,,0,F,,6509.113253,8,0,8,5011.261749,319.0045701,FALSE
1000,622379.3965,3068649.721,1430.212,F,,,,last sec,,,0,F,,6509.113253,9,0,9,5267.111683,347.5299626,FALSE
1000,622401.1353,3068867.109,1463.563,F,,,,last sec,,,0,F,,6509.113253,10,0,10,5485.5841,320.9032273,FALSE
1000,622121.248,3068897,1512.06,F,,,,last sec,,,0,F,,6509.113253,11,0,11,5767.06297,276.4247178,FALSE
1000,621914.7292,3068921.456,1513.861,F,,,,last sec,,,0,F,,6509.113253,12,0,12,5975.024762,249.683815,FALSE
1000,621789.731,3068785.589,1507.433,F,,,,last sec,,,0,F,,6509.113253,13,0,13,6159.644802,198.4230835,FALSE
1000,621816.9045,3068516.571,1501.849,F,,,,last sec,,,0,F,,6509.113253,14,0,14,6430.031592,204.4910609,FALSE
1001,621751.8457,3068470.592,1508.164,F,,,,,,,0,F,,1517.001693,0,0,0,0,218.9275435,FALSE
1001,621555.8265,3068227.901,1502.377,F,,,,,,,0,F,,1517.001693,1,0,1,311.9651223,215.2482573,FALSE
1001,621436.8148,3068034.216,1487.376,F,,,,,,,0,F,,1517.001693,2,0,2,539.2929339,223.4369087,FALSE
1001,621376.1422,3067992.212,1487.905,F,,,,,,,0,F,,1517.001693,3,0,3,613.0866642,262.8139916,FALSE
1001,621250.1298,3068038.883,1480.208,F,,,,,,,0,F,,1517.001693,4,0,4,747.4642161,259.2514835,FALSE
1001,621161.4544,3067959.542,1471.651,F,,,,,,,0,F,,1517.001693,5,0,5,866.4530308,265.8428367,FALSE
