id,X,Y,Z,length,bridge,tunnel,grade,hz. angle,speed,time,
1,626615.1546,3065370.512,1300.658,0,0,0,0,0,80,0,0
2,626530.3608,3065414.04,1298.219,95.34476401,0,0,-2.558084888,0,80,4.29051438,95.34476401
3,626341.5049,3065508.367,1297.191,211.1046913,0,0,-0.486962177,0.632672415,80,9.499711107,306.4494553
4,626152.649,3065602.694,1298.328,211.1052502,0,0,0.5385939,0,80,9.499736259,517.5547055
5,626058.221,3065697.02,1298.77,133.4699847,0,0,0.331160598,18.42849349,80,6.006149313,651.0246902
6,625963.793,3065791.347,1301.716,133.5024683,0,0,2.206700774,0.000303708,80,6.007611071,784.5271585
7,625774.9371,3065885.674,1307.757,211.1886066,0,0,2.86047628,18.4287972,80,9.503487299,995.7157651
8,625586.0812,3065980.001,1309.172,211.1069305,0,0,0.670276431,0,80,9.499811874,1206.822696
9,625397.2252,3066074.327,1311.414,211.1137361,0,0,1.061986795,0.00025494,80,9.500118125,1417.936432
10,625208.3693,3066168.654,1318.37,211.2167603,0,0,3.293299258,0.00025494,80,9.504754213,1629.153192
11,625019.5134,3066262.981,1320.71,211.1151569,0,0,1.108399811,0,80,9.500182063,1840.268349
12,624925.0854,3066357.308,1323.982,133.5100599,0,0,2.450751653,18.4287972,80,6.007952696,1973.778409
13,624830.6575,3066451.635,1325.853,133.4830022,0,0,1.401676595,3.03E-05,80,6.006735098,2107.261411
14,624641.8015,3066545.961,1325.329,211.1024812,0,0,-0.248220673,18.42908248,80,9.499611656,2318.363892
15,624452.9456,3066640.288,1329.947,211.1526931,0,0,2.187042908,0.000254938,80,9.501871191,2529.516585
16,624358.5176,3066640.288,1330.051,94.42805727,0,0,0.110136757,26.54054468,80,4.249262577,2623.944643
17,624190.0906,3066751.843,1334.604,202.0715273,0,0,2.253162561,33.51787967,80,9.09321873,2826.01617
18,623993.5376,3066901.988,1335.09,247.3395218,0,0,0.196491041,3.857991743,80,11.13027848,3073.355692
19,623974.428,3066911.542,1335.338,21.36599557,0,1,1.160722884,10.81237938,79.24248508,0.970660927,3094.721687
20,619760.057,3068182.455,1242.875,4402.805036,0,1,-2.100092992,9.781941766,80,198.1262266,7497.526723
21,619747.7845,3068186.805,1237.385,14.1309667,0,0,-38.85084522,2.734931744,80,0.635893501,7511.65769
22,619639.4216,3068232.901,1236.111,117.7666438,0,0,-1.08180038,3.52771287,80,5.29949897,7629.424334
23,619517.4436,3068286.071,1222.704,133.7364163,0,0,-10.02494337,0.508109279,80,6.018138732,7763.16075
24,619436.6462,3068358.528,1215.217,108.7855315,0,0,-6.882349055,18.33262195,80,4.895348918,7871.946282
25,619331.8702,3068423.687,1207.02,123.6563636,0,0,-6.628854156,10.00791641,80,5.564536363,7995.602645
26,619237.5197,3068484.676,1197.134,112.7803528,0,0,-8.765711189,1.001976026,80,5.075115874,8108.382998
27,619114.4991,3068445.06,1194.308,129.2728964,1,0,-2.186073089,50.72896502,80,5.81728034,8237.655895
28,619062.3718,3068328.294,1195.547,127.879198,1,0,0.968883149,48.09282615,80,5.75456391,8365.535093
29,618986.2658,3068278.773,1192.708,90.84334097,0,0,-3.12516027,32.89137318,80,4.087950344,8456.378434
30,618969.3244,3068208.923,1185.182,72.26807186,0,0,-10.41400415,43.31532349,73.56767044,3.536404743,8528.646505
31,619076.1855,3068133.859,1180.974,130.6583562,0,0,-3.220612995,68.54732939,56.1698494,8.374067003,8659.304862
32,619186.1742,3068132.817,1174.339,110.1935711,0,0,-6.021222411,34.54312804,80,4.958710701,8769.498433
33,619198.1635,3068078.604,1175.684,55.53919074,0,0,2.421713356,76.98686578,44.61467882,4.481509045,8825.037623
34,619117.3661,3068001.456,1166.37,112.1016697,0,0,-8.308529236,58.79395683,53.30232615,7.571264521,8937.139293
35,619169.4935,3067859.669,1154.964,151.4955974,0,0,-7.528931662,66.50935066,71.75539497,7.600601333,9088.634891
36,619016.2391,3067822.659,1144.111,158.0330308,0,0,-6.86755164,96.60910395,63.56128539,8.950714376,9246.667921
37,618829.6231,3067802.85,1135.546,187.859754,0,0,-4.559252218,7.517468076,80,8.453688929,9434.527675
38,618677.4112,3067825.787,1124.614,154.3181036,0,0,-7.084068392,14.62866453,80,6.944314661,9588.845779
39,618568.4651,3067837.776,1112.029,110.3239369,0,0,-11.4073159,2.289635628,80,4.96457716,9699.169716
40,618486.1038,3067890.946,1104.42,98.32766406,0,0,-7.73841225,26.56522161,80,4.424744883,9797.49738
41,618315.908,3067875.047,1095.97,171.1455259,0,0,-4.937318668,38.18193207,80,7.701548666,9968.642906
42,618261.6956,3067842.728,1084.276,64.18918687,0,0,-18.21802171,25.46464919,80,2.888513409,10032.83209
43,618136.5899,3067802.069,1073.798,131.9635515,0,0,-7.940071237,12.79748437,80,5.93835982,10164.79564
44,617982.2929,3067841.685,1065.734,159.5055477,0,0,-5.055623528,32.40375914,80,7.177749648,10324.30119
45,617893.6764,3067869.834,1057.802,93.31755943,0,0,-8.500007982,3.222688409,80,4.199290174,10417.61875
46,617820.6981,3067813.537,1053.893,92.25218025,0,0,-4.237298229,55.269784,72.41614171,4.586102505,10509.87093
47,617809.2301,3067791.643,1054.997,24.74027235,0,0,4.46235993,24.70725932,56.18537317,1.585198699,10534.6112
48,617777.9537,3067786.43,1054.688,31.70936844,0,0,-0.974475416,52.89181384,36.97693964,3.08715993,10566.32057
49,617735.2093,3067886.515,1048.965,108.9809327,0,0,-5.251377337,76.33639111,34.13044758,11.49505457,10675.30151
50,617594.4654,3067892.77,1037.359,141.3600709,0,0,-8.210239232,64.32890478,71.92180818,7.075687724,10816.66158
51,617457.8917,3067980.344,1027.368,162.546612,0,0,-6.146544597,30.12417898,80,7.314597542,10979.20819
52,617386.9985,3067919.876,1025.311,93.20115922,0,0,-2.207054094,73.13122188,60.5394953,5.542236048,11072.40935
53,617311.9351,3067954.28,1026.932,82.58799475,0,0,1.962755004,65.08588207,60.23499343,4.935947763,11154.99734
54,617261.8929,3068058.535,1026.172,115.6455983,0,0,-0.657180222,39.73555552,79.73424177,5.22139729,11270.64294
55,617184.7444,3067982.429,1016.324,108.8163471,0,0,-9.050110819,108.9693401,47.6565534,8.220041558,11379.45929
56,616961.6393,3067930.302,993.899,230.2085802,0,0,-9.741166024,31.45939555,80,10.35938611,11609.66787
57,616958.5116,3068099.194,989.137,168.9880671,0,0,-2.817950452,102.0899255,63.75622503,9.541923807,11778.65593
58,616837.5762,3068189.896,973.397,151.9867474,0,0,-10.35616609,52.06903035,80,6.839403632,11930.64268
59,616721.8534,3068308.746,967.378,165.9919194,0,0,-3.626080126,8.893757567,80,7.469636372,12096.6346
60,616658.7793,3068455.224,956.642,159.8418227,0,0,-6.716640127,20.93927474,80,7.19288202,12256.47642
61,616507.61,3068501.096,947.504,158.2400098,0,0,-5.774772141,49.82275826,80,7.120800439,12414.71643
62,616380.4193,3068463.565,945.46,132.6281571,0,0,-1.541150872,33.32040507,80,5.968267071,12547.34459
63,616387.7171,3068317.608,936.532,146.4117923,0,0,-6.097869482,76.42228873,69.98396424,7.531474644,12693.75638
64,616162.5269,3068254.013,936.304,233.9978679,0,0,-0.097436785,77.09240256,72.77225588,11.57573466,12927.75425
65,615974.8684,3068268.608,932.493,188.2637787,0,0,-2.024287426,20.21716731,80,8.471870041,13116.01803
66,615778.8696,3068345.757,922.175,210.8884988,0,0,-4.892632865,17.03839481,80,9.489982446,13326.90653
67,615562.0197,3068458.352,902.157,245.1575687,0,0,-8.165360796,5.954119705,80,11.03209059,13572.0641
68,615353.5103,3068581.373,894.232,242.2253949,0,0,-3.271746136,3.100998657,80,10.90014277,13814.28949
