fid,LENGTH,FEATURES,y,x,mgrs
"1",134.7522,Highway,"28.20964085","83.98555046",44RQS9305024036
"1",134.7522,Highway,"28.20909275","83.98677588",44RQS9317223979
"2",38.37695,Highway,"28.20909275","83.98677588",44RQS9317223979
"2",38.37695,Highway,"28.20893937","83.98712641",44RQS9320723962
"3",29.40451,Highway,"28.20893937","83.98712641",44RQS9320723962
"3",29.40451,Highway,"28.20881982","83.98739384",44RQS9323323950
"4",9.778804,Highway,"28.20847697","83.98824038",44RQS9331823914
"4",9.778804,Highway,"28.20842960","83.98832443",44RQS9332623909
"5",83.3774,Highway,"28.20842960","83.98832443",44RQS9332623909
"5",83.3774,Highway,"28.20809350","83.98908437",44RQS9340123873
"6",139.9247,Highway,"28.20809350","83.98908437",44RQS9340123873
"6",139.9247,Highway,"28.20797395","83.98933269",44RQS9342623861
"6",139.9247,Highway,"28.20797397","83.98951415",44RQS9344423861
"6",139.9247,Highway,"28.20804166","83.98967651",44RQS9346023869
"6",139.9247,Highway,"28.20825375","83.98989615",44RQS9348123893
"6",139.9247,Highway,"28.20835528","83.99004895",44RQS9349523905
"6",139.9247,Highway,"28.20835980","83.99016323",44RQS9350723906
"6",139.9247,Highway,"28.20835980","83.99016323",44RQS9350723906
"6",139.9247,Highway,"28.20833500","83.99031223",44RQS9352123903
"7",72.62547,Bridge Road,"28.20833500","83.99031223",44RQS9352123903
"7",72.62547,Bridge Road,"28.20817709","83.99062200",44RQS9355223886
"7",72.62547,Bridge Road,"28.20801693","83.99085122",44RQS9357523869
"7",72.62547,Bridge Road,"28.20794699","83.99089548",44RQS9358023862
"8",21.83314,Highway,"28.20794699","83.99089548",44RQS9358023862
"8",21.83314,Highway,"28.20787254","83.99092764",44RQS9358323853
"8",21.83314,Highway,"28.20775523","83.99092765",44RQS9358323840
"9",29.48311,Highway,"28.20775523","83.99092765",44RQS9358323840
"9",29.48311,Highway,"28.20750028","83.99084172",44RQS9357623812
"10",158.5402,Highway,"28.20750028","83.99084172",44RQS9357623812
"10",158.5402,Highway,"28.20731529","83.99088948",44RQS9358123792
"10",158.5402,Highway,"28.20718670","83.99103275",44RQS9359523778
"10",158.5402,Highway,"28.20706941","83.99142433",44RQS9363423766
"10",158.5402,Highway,"28.20688220","83.99217883",44RQS9370923747
"11",54.7683,Highway,"28.20688220","83.99217883",44RQS9370923747
"11",54.7683,Highway,"28.20677394","83.99272321",44RQS9376223736
"12",11.61159,Highway,"28.20677394","83.99272321",44RQS9376223736
"12",11.61159,Highway,"28.20674912","83.99283813",44RQS9377423734
"13",61.11903,Highway,"28.20674912","83.99283813",44RQS9377423734
"13",61.11903,Highway,"28.20661605","83.99344236",44RQS9383323720
"14",114.8728,Highway,"28.20661605","83.99344236",44RQS9383323720
"14",114.8728,Highway,"28.20635890","83.99457601",44RQS9394623694
"15",12.88535,Highway,"28.20635890","83.99457601",44RQS9394623694
"15",12.88535,Highway,"28.20633183","83.99470367",44RQS9395823692
"16",85.58517,Highway,"28.20633183","83.99470367",44RQS9395823692
"16",85.58517,Highway,"28.20614686","83.99555016",44RQS9404223673
"17",58.64648,Highway,"28.20614686","83.99555016",44RQS9404223673
"17",58.64648,Highway,"28.20602957","83.99613273",44RQS9409923662
"18",25.75432,Highway,"28.20602957","83.99613273",44RQS9409923662
"18",25.75432,Highway,"28.20598671","83.99639059",44RQS9412523658
"19",16.45024,Highway,"28.20598671","83.99639059",44RQS9412523658
"19",16.45024,Highway,"28.20596189","83.99655581",44RQS9414123655
"20",101.801,Highway,"28.20596189","83.99655581",44RQS9414123655
"20",101.801,Highway,"28.20586038","83.99712597",44RQS9419723645
"20",101.801,Highway,"28.20574308","83.99756179",44RQS9424023633
"21",21.28673,Highway,"28.20574308","83.99756179",44RQS9424023633
"21",21.28673,Highway,"28.20573180","83.99777826",44RQS9426223633
"22",91.37063,Highway,"28.20881982","83.98739384",44RQS9323323950
"22",91.37063,Highway,"28.20864839","83.98781886",44RQS9327623932
"22",91.37063,Highway,"28.20847697","83.98824038",44RQS9331823914
"23",38.19134,Highway,"27.81400902","84.95065458",45RTL9813378284
"23",38.19134,Highway,"27.81398605","84.95104132",45RTL9817178281
"24",61.3973,Bridge Road,"27.81398605","84.95104132",45RTL9817178281
"24",61.3973,Bridge Road,"27.81391412","84.95165918",45RTL9823278272
"25",72.70096,Highway,"27.81363618","84.95008487",45RTL9807678244
