"FID","FEATURE","LONGITUDE","LATITUDE","GRID","EASTING","NORTHING"
1,"Highway",83.98555046,28.20964085,"44RQS","93050","24036"
1,"Highway",83.98555046,28.20964085,"44RQS","93050","24036"
1,"Highway",83.98677588,28.20909275,"44RQS","93172","23979"
2,"Highway",83.98677588,28.20909275,"44RQS","93172","23979"
2,"Highway",83.98712641,28.20893937,"44RQS","93207","23962"
3,"Highway",83.98712641,28.20893937,"44RQS","93207","23962"
3,"Highway",83.98739384,28.20881982,"44RQS","93233","23950"
22,"Highway",83.98739384,28.20881982,"44RQS","93233","23950"
22,"Highway",83.98781886,28.20864839,"44RQS","93276","23932"
22,"Highway",83.98824038,28.20847697,"44RQS","93318","23914"
4,"Highway",83.98824038,28.20847697,"44RQS","93318","23914"
4,"Highway",83.98832443,28.2084296,"44RQS","93326","23909"
5,"Highway",83.98832443,28.2084296,"44RQS","93326","23909"
5,"Highway",83.98908437,28.2080935,"44RQS","93401","23873"
6,"Highway",83.98908437,28.2080935,"44RQS","93401","23873"
6,"Highway",83.98933269,28.20797395,"44RQS","93426","23861"
6,"Highway",83.98951415,28.20797397,"44RQS","93444","23861"
6,"Highway",83.98967651,28.20804166,"44RQS","93460","23869"
6,"Highway",83.98989615,28.20825375,"44RQS","93481","23893"
6,"Highway",83.99004895,28.20835528,"44RQS","93495","23905"
6,"Highway",83.99016323,28.2083598,"44RQS","93507","23906"
6,"Highway",83.99016323,28.2083598,"44RQS","93507","23906"
6,"Highway",83.99031223,28.208335,"44RQS","93521","23903"
7,"Bridge Road",83.99031223,28.208335,"44RQS","93521","23903"
7,"Bridge Road",83.990622,28.20817709,"44RQS","93552","23886"
7,"Bridge Road",83.99085122,28.20801693,"44RQS","93575","23869"
7,"Bridge Road",83.99089548,28.20794699,"44RQS","93580","23862"
8,"Highway",83.99089548,28.20794699,"44RQS","93580","23862"
8,"Highway",83.99092764,28.20787254,"44RQS","93583","23853"
8,"Highway",83.99092765,28.20775523,"44RQS","93583","23840"
9,"Highway",83.99092765,28.20775523,"44RQS","93583","23840"
9,"Highway",83.99084172,28.20750028,"44RQS","93576","23812"
10,"Highway",83.99084172,28.20750028,"44RQS","93576","23812"
10,"Highway",83.99088948,28.20731529,"44RQS","93581","23792"
10,"Highway",83.99103275,28.2071867,"44RQS","93595","23778"
10,"Highway",83.99142433,28.20706941,"44RQS","93634","23766"
10,"Highway",83.99217883,28.2068822,"44RQS","93709","23747"
11,"Highway",83.99217883,28.2068822,"44RQS","93709","23747"
11,"Highway",83.99272321,28.20677394,"44RQS","93762","23736"
12,"Highway",83.99272321,28.20677394,"44RQS","93762","23736"
12,"Highway",83.99283813,28.20674912,"44RQS","93774","23734"
13,"Highway",83.99283813,28.20674912,"44RQS","93774","23734"
13,"Highway",83.99344236,28.20661605,"44RQS","93833","23720"
14,"Highway",83.99344236,28.20661605,"44RQS","93833","23720"
14,"Highway",83.99457601,28.2063589,"44RQS","93946","23694"
15,"Highway",83.99457601,28.2063589,"44RQS","93946","23694"
15,"Highway",83.99470367,28.20633183,"44RQS","93958","23692"
16,"Highway",83.99470367,28.20633183,"44RQS","93958","23692"
16,"Highway",83.99555016,28.20614686,"44RQS","94042","23673"
17,"Highway",83.99555016,28.20614686,"44RQS","94042","23673"
17,"Highway",83.99613273,28.20602957,"44RQS","94099","23662"
18,"Highway",83.99613273,28.20602957,"44RQS","94099","23662"
18,"Highway",83.99639059,28.20598671,"44RQS","94125","23658"
19,"Highway",83.99639059,28.20598671,"44RQS","94125","23658"
19,"Highway",83.99655581,28.20596189,"44RQS","94141","23655"
20,"Highway",83.99655581,28.20596189,"44RQS","94141","23655"
20,"Highway",83.99712597,28.20586038,"44RQS","94197","23645"
20,"Highway",83.99756179,28.20574308,"44RQS","94240","23633"
21,"Highway",83.99756179,28.20574308,"44RQS","94240","23633"
21,"Highway",83.99777826,28.2057318,"44RQS","94262","23633"
23,"Highway",84.95065458,27.81400902,"45RTL","98133","78284"
23,"Highway",84.95104132,27.81398605,"45RTL","98171","78281"
24,"Bridge Road",84.95104132,27.81398605,"45RTL","98171","78281"
24,"Bridge Road",84.95165918,27.81391412,"45RTL","98232","78272"
57,"Highway",84.95165918,27.81391412,"45RTL","98232","78272"
57,"Highway",84.95192009,27.81386494,"45RTL","98258","78266"
57,"Highway",84.95204372,27.81385732,"45RTL","98270","78265"
57,"Highway",84.95213439,27.81385218,"45RTL","98279","78264"
57,"Highway",84.95220105,27.81385849,"45RTL","98285","78265"
57,"Highway",84.95227221,27.81387154,"45RTL","98292","78266"
57,"Highway",84.95235821,27.81391381,"45RTL","98301","78271"
57,"Highway",84.95247815,27.81399194,"45RTL","98313","78279"
57,"Highway",84.95274996,27.81417281,"45RTL","98340","78299"
57,"Highway",84.95308557,27.8143961,"45RTL","98374","78323"
57,"Highway",84.95360237,27.8147377,"45RTL","98425","78360"
57,"Highway",84.95454934,27.81530645,"45RTL","98519","78421"
57,"Highway",84.9554677,27.81586636,"45RTL","98611","78482"
57,"Highway",84.95556326,27.81591308,"45RTL","98620","78487"
57,"Highway",84.95564461,27.81593056,"45RTL","98629","78489"
57,"Highway",84.95573478,27.81594122,"45RTL","98637","78490"
57,"Highway",84.95583504,27.81594504,"45RTL","98647","78490"
57,"Highway",84.95583504,27.81594504,"45RTL","98647","78490"
57,"Highway",84.95596314,27.81593964,"45RTL","98660","78489"
57,"Highway",84.95599103,27.81593719,"45RTL","98663","78489"
57,"Highway",84.9560538,27.8159345,"45RTL","98669","78488"
57,"Highway",84.95617732,27.81591334,"45RTL","98681","78486"
57,"Highway",84.95629571,27.8158877,"45RTL","98693","78483"
57,"Highway",84.95664223,27.81576122,"45RTL","98726","78468"
57,"Highway",84.95730553,27.81544529,"45RTL","98791","78432"
57,"Highway",84.95751413,27.81536263,"45RTL","98812","78423"
57,"Highway",84.95779876,27.81526816,"45RTL","98840","78412"
57,"Highway",84.95876126,27.81492984,"45RTL","98934","78373"
57,"Highway",84.9593303,27.81471608,"45RTL","98989","78348"
57,"Highway",84.959463,27.81465875,"45RTL","99002","78341"
57,"Highway",84.9596145,27.81457423,"45RTL","99017","78332"
57,"Highway",84.96040785,27.81390093,"45RTL","99094","78256"
57,"Highway",84.96102935,27.81323558,"45RTL","99154","78181"
26,"Highway",84.96102935,27.81323558,"45RTL","99154","78181"
26,"Highway",84.96189843,27.81201579,"45RTL","99237","78045"
30,"Highway",84.96189843,27.81201579,"45RTL","99237","78045"
30,"Highway",84.96203132,27.81183663,"45RTL","99250","78025"
30,"Highway",84.96210684,27.81176843,"45RTL","99258","78017"
30,"Highway",84.9621868,27.81170019,"45RTL","99265","78009"
30,"Highway",84.96231486,27.81162033,"45RTL","99278","78000"
30,"Highway",84.96246622,27.81152001,"45RTL","99292","77989"
30,"Highway",84.96294922,27.81126397,"45RTL","99340","77960"
30,"Highway",84.96344623,27.8110146,"45RTL","99388","77931"
30,"Highway",84.96359342,27.81094589,"45RTL","99402","77923"
30,"Highway",84.96368804,27.81088657,"45RTL","99412","77917"
30,"Highway",84.96378271,27.81083177,"45RTL","99421","77910"
30,"Highway",84.96391015,27.81075417,"45RTL","99433","77902"
30,"Highway",84.96402858,27.81066085,"45RTL","99445","77891"
30,"Highway",84.96430672,27.81040849,"45RTL","99472","77863"
30,"Highway",84.96454252,27.81017447,"45RTL","99495","77836"
30,"Highway",84.9646744,27.81002465,"45RTL","99507","77819"
